reviews.text,reviews.rating,sentiment
dangerous,1.0,negative
what a horrendous product i thought that being from amazon it would be good wrong its still chinese firstlasts nothing  weeks in my computer mouse disastrous disappointment first time i am let down by amazon pity i guess i should have been more careful and less gullible,1.0,negative
absolutely the worst batteries ive ever used amazon should be ashamed to sell them,1.0,negative
dont last,1.0,negative
not much power in these batts,1.0,negative
wrong item,1.0,negative
love the batteriesthanks,1.0,negative
dont buy dont last,1.0,negative
brutal they dont last long at all,1.0,negative
booooo,1.0,negative
awful batteries,1.0,negative
wrong item,1.0,negative
thats crap,1.0,negative
these batteries dont last,1.0,negative
garbage,1.0,negative
terrible battery life,1.0,negative
terrible,1.0,negative
these die so fast,1.0,negative
i ordered aa,1.0,negative
very weak batteries,1.0,negative
navigates easily many channels fast connection speeds,1.0,negative
batteries die super fast,1.0,negative
junk wont charge,1.0,negative
had the amazon fire tv box fox  week and it broke,1.0,negative
did not recieve aa i only recieved cbatteries,1.0,negative
poor quality,1.0,negative
they die quickly,1.0,negative
should buy duracell,1.0,negative
i wanted solar batteries,1.0,negative
wrong size just awful not worth money,1.0,negative
inconsistent very short life,1.0,negative
worst batteries ive ever bought,1.0,negative
these batteries leak not satisfied,1.0,negative
very cheap batteries,1.0,negative
they were dead im baffled,1.0,negative
all were dead,1.0,negative
awful batteries dont work,1.0,negative
not good,1.0,negative
terrible didnt last  weeks,1.0,negative
batteries very week would not work in several devices,1.0,negative
these batteries dont last long waste of money,1.0,negative
did not fix my leaking water pump,1.0,negative
short battery life,1.0,negative
sent me old dead batteries,1.0,negative
utterly worthless no staying power,1.0,negative
all dead,1.0,negative
good price with ugly design,1.0,negative
entire pack of batteries was dead,1.0,negative
shortest life batteries ever waste of money,1.0,negative
these batteries are absolute garbage very little capacity,1.0,negative
these die way too fast,1.0,negative
waste of money,1.0,negative
exactly what i expected,1.0,negative
trash only lasted a few hours,1.0,negative
batteries leaked when in charging station,1.0,negative
very disappointed in these,1.0,negative
batteries didnt even last one monthvery dissapointed,1.0,negative
substandarddollar store batteries last longer,1.0,negative
die way too fast,1.0,negative
not compatible with south african plug standards bought this unnecessarily,1.0,negative
we love it thats me  my wife  my son  daughterin law   grandgirls all love it,1.0,negative
dollar store sunbeam batteries lasted longer than these crappy things so disappointing,1.0,negative
these batteries explode  terrible quality,1.0,negative
these batteries last  minutes waste of money,1.0,negative
they dont work still to regular brands,1.0,negative
dead on arrivalplease stay away,1.0,negative
they are terrible,1.0,negative
i need to cancel this auto shipment,1.0,negative
so bad do not even last two months in a mousea mousethats what i call utter garbage would return if possible,1.0,negative
battery storage life only lasted  months stored indoors,1.0,negative
amazon sucks these batteries drain like the water in my toilet,1.0,negative
not good dont last a week,1.0,negative
batteries arrived drained all of them,1.0,negative
 dollar ac to usb power adapter for  buck,1.0,negative
returned for later purchase,1.0,negative
worst batteries ever tried very poor battery life compared to major name brand alkaline,1.0,negative
these batteries leaked into my mouse and killed it not cool amazon,1.0,negative
these batteries do not last they are a waste of money,1.0,negative
broke about a month after ordering them,1.0,negative
just what i needed  thank you,1.0,negative
they lost power within minutes in digital cameras,1.0,negative
it goes off in week,1.0,negative
both packs were useless confirmed low charge with multimeter,1.0,negative
run down very quickly,1.0,negative
these dont last long at all,1.0,negative
these were dead on arrival,1.0,negative
these did not fit my device,1.0,negative
multiple batteries leaked ruining one toy and causing messes in other items poor quality,1.0,negative
about  the life of energized or duracell batteries,1.0,negative
barely k content and it lags a lot not worth it returned,1.0,negative
batteries must be old dont work,1.0,negative
these suck had for a week stopped working garbage,1.0,negative
im truly disappointed with these batteries,1.0,negative
some are not functioning,1.0,negative
total crap batteries last for minutes,1.0,negative
did not work,1.0,negative
none of the batteries work,1.0,negative
tried them in  flashlights neither worked,1.0,negative
they are too cheap please buy rechargeable batteries instead of wasting the environment,1.0,negative
does not let me connect with my library very diapointed,1.0,negative
not able to play youtube thats what my daughter likes,1.0,negative
onsale is  is cheap  good for new stars tablet,1.0,negative
they dont work and are dead,1.0,negative
great easy to use great pictures great price awesome,1.0,negative
worst battery ive ever used lasts  as long as eveready,1.0,negative
never again dont last especially short life in cold weather,1.0,negative
my grand kid didnt like device get frustrated to navigate education video not worth it,1.0,negative
bad performance slow device not worth buying better products are available in this range,1.0,negative
do not buy inconsistent quality performance some leak and ruin things,1.0,negative
not user friendly sluggish confusing and extremely frustrating returned the item,1.0,negative
dont last long replace batteries in my clock almost every  months,1.0,negative
my first tablet was a kindle i was curious about the updated version very disappointed,1.0,negative
these batteries have an extremely short life below amazons standards,1.0,negative
mu aa amazon batteries made in indonesia were without power after  months bought in may ,1.0,negative
i hate it there isnt any organization for the apps,1.0,negative
pretty dumb that you have tobuy a charger port,1.0,negative
batteries died after a week same appliance used duracell batteries for half a year,1.0,negative
batteries used primarily for remotes batteries last for about  month,1.0,negative
on second use silver liquid leaked out of batteries almost ruining the motor of a breast pump,1.0,negative
junk  after trying  batteries one worked,1.0,negative
freeze frequently no way to trouble shoot or repair it,1.0,negative
my adaptor doesnt work maybe im doing something wrong but there are no instructions it looks pretty simple so it just simply doesnt work,1.0,negative
stopped working in less than  months,1.0,negative
junk they dont work,1.0,negative
the package was open and missing two batteries,1.0,negative
basic performance didnt last a week in an am radio,1.0,negative
could not download my books at home three visits to best buy returned it,1.0,negative
works great for my  year old grandson he loves it,1.0,negative
these do not last long will never buy again,1.0,negative
so slow camera not good very low quality of picture get apple ipad mini instead,1.0,negative
they dont hold a charge very well,1.0,negative
i have the wrong size batteries,1.0,negative
died after  uses in my coffee frother wand wont buy again,1.0,negative
some of the unused batteries stored in ac room show signs of deterioration within six months of purchase poor battery performance,1.0,negative
these batteries only last  days in my tv remote,1.0,negative
half the batteries had no charge,1.0,negative
doesnt last like the other brands,1.0,negative
didnt want to go to the sites amazon wanted me to,1.0,negative
slow advertisement plagued save and spend money on something better,1.0,negative
no connection to wifi nook color hd work on it,1.0,negative
this is not what i received,1.0,negative
lasted ten minutes in my flashlight changed out the batteries again the next two lasted  minutes dont buy junk,1.0,negative
none of first eight batteries i opened worked tested other batteries to confirm was a battery problem confirmedwow,1.0,negative
i dont like ads amazon needs to find a better way to advertise,1.0,negative
wore out way to fast,1.0,negative
junksave your money totally useless batteries that last hours if that,1.0,negative
many of the batteries are no good,1.0,negative
i regretted buying this itemi will never recommend this to anyone,1.0,negative
i dont recommend buying this after  month of buying this it wont charge or turn on,1.0,negative
they dont last i would not buy again,1.0,negative
i was missing a pack of  batteries when i opened the box today not impressed,1.0,negative
died almost immediately ruined their purpose for the purpose needed,1.0,negative
the amazon fire sucks the pictures and camera sucks and blurry as can be,1.0,negative
did order or get,1.0,negative
super slow would not download returned after a week,1.0,negative
all the batteries came dead none of them worked dont bother buying these,1.0,negative
didnt like it to many pop up all the time dont recommend at all,1.0,negative
tablet was working perfectly now the charging port isnt working cant charge the tablet will be sending back,1.0,negative
they didnt work took one from each pack and  nothing,1.0,negative
the battery life is much poorer compared to name brands like energizer and duracell,1.0,negative
liked it a lot liked it a lot liked it a lot,1.0,negative
they do not work i had to buy duracell,1.0,negative
these batteries are awful have no power and die fast,1.0,negative
doa had to replace with other batteries what a disappointment threw them away ,1.0,negative
these batteries are actually falling apart before we use them they are junk,1.0,negative
batteries seem to have very short life,1.0,negative
these batteries have a very short life need replaced every week used ina solar light outside very unsatisfactory,1.0,negative
they let for about  recharges,1.0,negative
batteries were weak and didnt last a week in remote,1.0,negative
its very cool great picture good sound was kind of disappointed that i couldnt make calls but overall great piece of hardwark,1.0,negative
so slow returning mine for something different any suggestions,1.0,negative
these batteries are crap last a few days in xbox controller energizer lasts months dont waste your money,1.0,negative
alot of the batteries were dead or very weak,1.0,negative
these batteries dont last very long,1.0,negative
we will never buy any more they suck,1.0,negative
product was damaged needs lot of improvement on the apis,1.0,negative
its very tin sounding no bass sounds terrible bought a bose sound link and a amazon dot to hook up to it,1.0,negative
these batteries were expired dead when they arrived at my house i was very disappointed,1.0,negative
untrustworthydies really quick and doesnt keep the delivery date,1.0,negative
first day of purchase it overheats defective product,1.0,negative
die after one hour of use,1.0,negative
it takes forever to download apps im returning it will be getting something else,1.0,negative
they are bad batteries not long lasting at all,1.0,negative
the kindle continues to freeze up when watching a movie it will also freeze randomly,1.0,negative
didnt have hardly any charge to them a total waste of money,1.0,negative
more then half did not work ,1.0,negative
extremely short shelflife and usage life would never buy amazon batteries again,1.0,negative
most apps you have to pay for basic apps like youtube will not download without inputting credit card information what tablet for child not plausible to put in credit card information,1.0,negative
they paired these with a order that uses aa,1.0,negative
batteries used in fire remote lasted maybe a week and then died,1.0,negative
horrible quality these last  to  days in an xbox controller and maybe  days in a remote horrible quality,1.0,negative
never knows answers to question or has the song i want and always says not getting connection it sucks,1.0,negative
batteries didnt last long at all,1.0,negative
its need amazon account for download any apps  ita really pain for me  i dont like it,1.0,negative
dont waste your money they last about  days in a wii remote,1.0,negative
this is unacceptable spend the extra money for a tablet without obtrusive software and advertising,1.0,negative
it wouldnt connect to internet tried at home at a couple of wifi spots and at the store where i bought it,1.0,negative
run out super quick would not buy again,1.0,negative
these dont last long wouldnt buy again spend the extra money get good batteries,1.0,negative
first eight batteries i tried barely had a charge at all dont wast your money,1.0,negative
they fail earlier than brand names i assumed amazon would match in beat others i wont order again,1.0,negative
the kindle fire i purchased does not work it does not start or charge,1.0,negative
you get wath you paid not comparable to a apple tablet never,1.0,negative
batteries suck brand new out of box dead or close too change smoke alarms every month and remote batteries every  weeksjunk dead  different boxes and sizes of amazon,1.0,negative
this makes my phone way to big cant fit in pockets,1.0,negative
