reviews.text,reviews.rating,sentiment
tablet bought gift mother older keyboard style kindle really enjoyed new little dog got hold seems like new much touch screen makes using much easier old keyboard style color display expanded capabilities nice,4.0,positive
wish would computer litterate trouble understanding next continue go back start games bought kindle reading apps put netflix,4.0,positive
using two sets going agree reviewers say dont last long name brand batteries,2.0,negative
bought sale rewards coupon expiring felt didnt much lose overall tablet good value careful certain aspectsthe tablet really fast something price range screen pretty good resolution well bluetooth connectivity keyboards wireless headphones wont work itthe app store amazon app store side loaded google play getting apps youtube helpful instructions lock screen amazon billboard default search bing instead google havent figured fix yet use google app search google load chromecast app play hit miss whether works works youtube flixter doesnt work disney apps watch espn watch abc etc cast screen view things way resolution limited resolution tablets screeni think good deal since cheap watch prime movies still tablet would expect android device satisfaction would improve greatly chromecast worked better,3.0,neutral
much better previousfirst tablet excellent graphics reasonable fast mostly intuitive add google difficult add apps amazon store,4.0,positive
kindles currently home nice edition mother reading books compared directly next basic kindle clarity font made well worth price difference,4.0,positive
tablet would expect price point nothing exciting terms tech add prime membership device really excels giving access prime perks adds another voice control point alexa,5.0,positive
got tablet daughter birthday tablet worked great charger cable work,4.0,positive
item fair price great quality children keeps busy take care home business,4.0,positive
good tablet easy use yr many free stuff expected pay games movies books,3.0,neutral
could bought energizer batteries ok us company knows damage manufacture planet,3.0,neutral
amazon fire hd model great tablet price however fire os offers limited abilities user personally wish ways mirror screen tv without purchase fire tv streaming stick also inability use google play store major set back werent two complaint id give tablet stars,3.0,neutral
love firetv box faster firestick storage space n allows ethernet cable connection stable connection u get tv roku built interference box n tv dont get roku built tv box,5.0,positive
thing amazon app store transfer unless really tech savvy,4.0,positive
awesome buy price camera rated,4.0,positive
works great still trying figure problems far looking forward expanding uses far makes great speaker,5.0,positive
bought several amazon tablets gifts family friends ecstatic given gift great reception,5.0,positive
problems correct output,5.0,positive
niece love course older wild siblings like taking overall say love,5.0,positive
works recognized lot commands doesnt work music high,3.0,neutral
boys absolutely love able abc mouse feel one greatest purchases,5.0,positive
well primarily going samsung galaxy price went kindle daughter use like parental control features wish amazon full android device instead limitations app markets cant even get google play unless jail break well works fine top list,3.0,neutral
nice looking cover keep fire clean particularly safe fall black one professional looking padding whatsoever wake fire opened shut closed never important problem cases hold cover order keep camera clear makes clicking shutter little awkward id like see opening front cover matches opening back folded half still able view subject,3.0,neutral
tablet user friendly price beat,5.0,positive
love load apps watch pretty much everything ever used watch cable thing wish could get hallmark channelbut im happy price,5.0,positive
got home found packet empty product ordered,1.0,negative
worst batteries ever short life every item used one example similar devices battery operated clock needs batteries changed every years need change every three months never purchase,1.0,negative
product exactly thought would complaints,5.0,positive
love amazon fire use everydaybest item ever boughteveryone one,5.0,positive
easy use kids really enjoy using,4.0,positive
half batteries dead low charged box,2.0,negative
price great tablet kids love,5.0,positive
saw sale used points cost haha suckered pay anyway works awesome sets mins sale,5.0,positive
great son years old help homework,5.0,positive
lightweight easy eyes easy use many wonderful features,5.0,positive
like tablet alot really hard understand first,4.0,positive
love user friendly great kids lots aps great purchase great price,5.0,positive
bought yr old twin grandkids enjoy learning games much love limit long child engaged apps games movies daughter use amazon prime acct yr amazon warranty amazing well,5.0,positive
husband kindle fire kids also husband loves kids tablets great variety apps maine draw back tablets vs kitchen floor floor tablet screen cracked,4.0,positive
great value price recipient enjoying much,5.0,positive
