reviews.text,reviews.rating,sentiment,reviews.doRecommend
amazon echo helped make home smartapart turning lights one enjoy alexa company,5.0,positive,True
bought two kids absolutely love,5.0,positive,True
effective responsive although hard time backgound noise needs away wall works well,4.0,positive,True
great tablet lag free running apps good battery life downside lack ability screen mirror available older versions longer,4.0,positive,True
year old gone tablets prior kids fire love parental control easy use loves apps available prime drops daily damage tablet thanks protective case thanks making durable product incredible warranty,5.0,positive,True
enjoy content everywhere amazon prime worth one word kodi,5.0,positive,True
im happy uses tablet gives comfort easy use even bought mom one mothers day tablet kids feature four year old daughter watch play changing features,4.0,positive,True
purchased tablet mother law use read ebooks play online games user friendly great price product needs,5.0,positive,True
ok device find google home better promising future,3.0,neutral,
echo dot steroids love dot regular echo,5.0,positive,True
kindle fire easy afordable booksgames movies one device owned kindles past purchase another one time comes replace one,4.0,positive,True
item worst ever tech support even worst spent hour troubleshooting solution return bestbuy get anotherone guess didnt work ether basically netflix app cant downloaded becuse amazon fire tv wont let make worst youre fan hbo brace becuase app isnt even available app store hbo simply doesnt exist spent total days troubleshooting amazon team actually managing fire tv remotely offices answer ether equipment defective dont netflix hbo available really freaking advertised box dont waist money better get apple tv roku,1.0,negative,False
nice tablet still learning use always something new learn tablet,5.0,positive,True
purchased test prime membership interface seems little slow intuitive streaming players however like k capability price,4.0,positive,True
watch tons stuff tv needs cable days,5.0,positive,True
although isnt really necessity truly fun alexa isnt savvy siri ability play song command accessories turn devices worth expense,4.0,positive,True
opened test decided keep awesome,4.0,positive,True
amazon fire tv box k streaming works well,5.0,positive,True
bought kindle aging mother third loves daughter loves well easy useeven someone,5.0,positive,True
decent simple tablet gets job doneexcellent,4.0,positive,True
amazing easily move computer tv kids love watching movies set seconds ready go,5.0,positive,True
love kindle easy use lots free books read,5.0,positive,True
excellent nice solution non smart device use smart tv tv remote also run amazon tv use projector usb audio sound,4.0,positive,True
easy use works great amazon account,4.0,positive,True
already firestick decided buy one k tv due supporting k moved firestick bedroom tv great product,5.0,positive,True
great price kindle present kids,5.0,positive,True
bought parents fur christmas live simple easy use,5.0,positive,True
bought sister loves much easier read ipad,5.0,positive,True
great tablet money cheap use stand alone interface fish tank,5.0,positive,True
bought daughter best thing ever recommend anyone,5.0,positive,True
love echo great product still learning new things everyday,4.0,positive,True
great system gives great television alternatives people kinds,5.0,positive,True
great onthego speaker like fact sits charging cradle instead plug also bonus alex like update done well dont push button activate say name looking echo decent speaker without paying much choose one spend morem get regular echo better booming sound cant travel,5.0,positive,True
easy install super easy everyone use cant imagine tv without,4.0,positive,True
perfect settings kids usage keeps away inappropriate stuff n easy access downloads interest downside cant access youtube kids,4.0,positive,True
ive echo months set easy voice recognition excellent alexa hears responds requests well tv occasionally love capability connect speakers via bluetooth lot fun family parties,5.0,positive,True
grandson really enjoys plays time,5.0,positive,True
love turning paper pages book techie held rushing buying one many tablet readers available spent quite bit time reading reviews talking others making decision glad research like kindle paperwhite adjustable screen lighting spot easy eyes whether reading dim room light bright sunshine outside ease syncing computer wifi speed downloading book ability adjust font size ability bookmark pick stopped reading size weight makes portable opted envelopstyle sleeve storage rather cover might use ipad similar tablet easy slip reader sleeve begin reading thrilled device give two thumbs substitution feel real paper reader comes close,5.0,positive,True
great ereader easy eyes battery life last whole week enough said,5.0,positive,True
bought three kids ages works great use wish came google play store able install separately works well,4.0,positive,True
researching ways forego using cable television future seems good start havent quite figured yet far good,5.0,positive,True
good hate never buy sucks done,1.0,negative,False
good tablet camera good poor resolution,3.0,neutral,
provides better sound built samsung tv sound good full surround sound system liked fact digital audio connection tv comes cable,4.0,positive,True
bought product back september loved every moment setup easy amazon store search bar make easy narrow thousands books available battery longlasting dont worry constantly charging months charge twice best parts backlit screen easy adjustment ample storage,5.0,positive,True
drawback tablet access apps great product,5.0,positive,True
cheap best product amazon almost tabs bought recently shows inspired tables,4.0,positive,True
smart commercials show cant answer lot questions,3.0,neutral,
cant beat kindle fire already got thanksgiving sale,5.0,positive,True
great item someone looking cut cord selections endless,5.0,positive,True
good value money quad core processor allows consistent streaming,5.0,positive,True
great invention works really well security system thermostat door looks interior lights nice way feel safe impress friends family,5.0,positive,True
great item grandchildren ball,5.0,positive,True
easy use kids mode lots games books kids,4.0,positive,True
love echotells weather makes shopping list plays music request didnt give excellent rating products like always improved definitely must home price cant beat,4.0,positive,True
granddaughter loves tablet two problem playing games using tablet user friendly keeps busy hours,5.0,positive,True
like tablet good size east three year old use,4.0,positive,True
cool note much cooler amazon prime stream music free great gift,4.0,positive,True
works well easily portable worth money,5.0,positive,True
bought kids good amount memory apps music could ever need dont lag like cheaper tablets overall worth price,4.0,positive,True
