reviews.text,reviews.rating,sentiment,reviews.doRecommend
amazon echo helped make home smartapart turning light one enjoy alexa company,5.0,positive,True
bought two kid absolutely love,5.0,positive,True
effective responsive although hard time backgound noise need away wall work well,4.0,positive,True
great tablet lag free running apps good battery life downside lack ability screen mirror available older version longer,4.0,positive,True
year old gone tablet prior kid fire love parental control easy use love apps available prime drop daily damage tablet thanks protective case thanks making durable product incredible warranty,5.0,positive,True
enjoy content everywhere amazon prime worth one word kodi,5.0,positive,True
im happy us tablet give comfort easy use even bought mom one mother day tablet kid feature four year old daughter watch play changing feature,4.0,positive,True
purchased tablet mother law use read ebooks play online game user friendly great price product need,5.0,positive,True
ok device find google home better promising future,3.0,neutral,
echo dot steroid love dot regular echo,5.0,positive,True
kindle fire easy afordable booksgames movie one device owned kindles past purchase another one time come replace one,4.0,positive,True
item worst ever tech support even worst spent hour troubleshooting solution return bestbuy get anotherone guess didnt work ether basically netflix app cant downloaded becuse amazon fire tv wont let make worst youre fan hbo brace becuase app isnt even available app store hbo simply doesnt exist spent total day troubleshooting amazon team actually managing fire tv remotely office answer ether equipment defective dont netflix hbo available really freaking advertised box dont waist money better get apple tv roku,1.0,negative,False
nice tablet still learning use always something new learn tablet,5.0,positive,True
purchased test prime membership interface seems little slow intuitive streaming player however like k capability price,4.0,positive,True
watch ton stuff tv need cable day,5.0,positive,True
although isnt really necessity truly fun alexa isnt savvy siri ability play song command accessory turn device worth expense,4.0,positive,True
opened test decided keep awesome,4.0,positive,True
amazon fire tv box k streaming work well,5.0,positive,True
bought kindle aging mother third love daughter love well easy useeven someone,5.0,positive,True
decent simple tablet get job doneexcellent,4.0,positive,True
amazing easily move computer tv kid love watching movie set second ready go,5.0,positive,True
love kindle easy use lot free book read,5.0,positive,True
excellent nice solution non smart device use smart tv tv remote also run amazon tv use projector usb audio sound,4.0,positive,True
easy use work great amazon account,4.0,positive,True
already firestick decided buy one k tv due supporting k moved firestick bedroom tv great product,5.0,positive,True
great price kindle present kid,5.0,positive,True
bought parent fur christmas live simple easy use,5.0,positive,True
bought sister love much easier read ipad,5.0,positive,True
great tablet money cheap use stand alone interface fish tank,5.0,positive,True
bought daughter best thing ever recommend anyone,5.0,positive,True
love echo great product still learning new thing everyday,4.0,positive,True
great system give great television alternative people kind,5.0,positive,True
great onthego speaker like fact sits charging cradle instead plug also bonus alex like update done well dont push button activate say name looking echo decent speaker without paying much choose one spend morem get regular echo better booming sound cant travel,5.0,positive,True
easy install super easy everyone use cant imagine tv without,4.0,positive,True
perfect setting kid usage keep away inappropriate stuff n easy access downloads interest downside cant access youtube kid,4.0,positive,True
ive echo month set easy voice recognition excellent alexa hears responds request well tv occasionally love capability connect speaker via bluetooth lot fun family party,5.0,positive,True
grandson really enjoys play time,5.0,positive,True
love turning paper page book techie held rushing buying one many tablet reader available spent quite bit time reading review talking others making decision glad research like kindle paperwhite adjustable screen lighting spot easy eye whether reading dim room light bright sunshine outside ease syncing computer wifi speed downloading book ability adjust font size ability bookmark pick stopped reading size weight make portable opted envelopstyle sleeve storage rather cover might use ipad similar tablet easy slip reader sleeve begin reading thrilled device give two thumb substitution feel real paper reader come close,5.0,positive,True
great ereader easy eye battery life last whole week enough said,5.0,positive,True
bought three kid age work great use wish came google play store able install separately work well,4.0,positive,True
researching way forego using cable television future seems good start havent quite figured yet far good,5.0,positive,True
good hate never buy suck done,1.0,negative,False
good tablet camera good poor resolution,3.0,neutral,
provides better sound built samsung tv sound good full surround sound system liked fact digital audio connection tv come cable,4.0,positive,True
bought product back september loved every moment setup easy amazon store search bar make easy narrow thousand book available battery longlasting dont worry constantly charging month charge twice best part backlit screen easy adjustment ample storage,5.0,positive,True
drawback tablet access apps great product,5.0,positive,True
cheap best product amazon almost tab bought recently show inspired table,4.0,positive,True
smart commercial show cant answer lot question,3.0,neutral,
cant beat kindle fire already got thanksgiving sale,5.0,positive,True
great item someone looking cut cord selection endless,5.0,positive,True
good value money quad core processor allows consistent streaming,5.0,positive,True
great invention work really well security system thermostat door look interior light nice way feel safe impress friend family,5.0,positive,True
great item grandchild ball,5.0,positive,True
easy use kid mode lot game book kid,4.0,positive,True
love echotells weather make shopping list play music request didnt give excellent rating product like always improved definitely must home price cant beat,4.0,positive,True
granddaughter love tablet two problem playing game using tablet user friendly keep busy hour,5.0,positive,True
like tablet good size east three year old use,4.0,positive,True
cool note much cooler amazon prime stream music free great gift,4.0,positive,True
work well easily portable worth money,5.0,positive,True
bought kid good amount memory apps music could ever need dont lag like cheaper tablet overall worth price,4.0,positive,True
christmas gift early tell arrived time,4.0,positive,True
amazon fire far one easiest tablet navigate apps prime membership truly easy good sturdy design,5.0,positive,True
replaced old kindle fire white paper wasnt sure would like without color screen wifi connection however smartphone really dont need function anymore,5.0,positive,True
easy intuitive criticism easier go right application instead watching advertisement figure exit,4.0,positive,True
item reading using reading lite surfing,5.0,positive,True
three star review situation described quality unit ordered online picked store package securely sealed seal appeared factory echo wrapped plastic looked like never package hooked however said unit registered someone else wasnt problem get registered unit work fine spoke amazon target neither could tell happened offered exchange wished chose keep original unit wanted make others aware issue one theory target buyer purchased lot target resale registered person guess ill never know echo work fine im happy hook make sure go setting download latest update good go,3.0,neutral,
kindle purchased good expensive tablet useful reading internet lot apps already loaded plan use know delete mainly use kindle fire facebook occasionally get internet,2.0,negative,True
great simple tablet easy use anyone use,5.0,positive,True
bit involved getting set thereafter function simply talking alexia plug adapter turn light tv useful certainly worth,2.0,negative,True
tablet great browsing internet affordable,5.0,positive,True
