reviews.text,reviews.rating
dangerous,1.0
horrendous product thought amazon would good wrong still chinese firstlasts nothing weeks computer mouse disastrous disappointment first time let amazon pity guess careful less gullible,1.0
absolutely worst batteries ive ever used amazon ashamed sell,1.0
dont last,1.0
much power batts,1.0
wrong item,1.0
love batteriesthanks,1.0
dont buy dont last,1.0
brutal dont last long,1.0
booooo,1.0
awful batteries,1.0
wrong item,1.0
thats crap,1.0
batteries dont last,1.0
garbage,1.0
terrible battery life,1.0
terrible,1.0
die fast,1.0
ordered aa,1.0
weak batteries,1.0
navigates easily many channels fast connection speeds,1.0
batteries die super fast,1.0
junk wont charge,1.0
amazon fire tv box fox week broke,1.0
recieve aa recieved cbatteries,1.0
poor quality,1.0
die quickly,1.0
buy duracell,1.0
wanted solar batteries,1.0
wrong size awful worth money,1.0
inconsistent short life,1.0
worst batteries ive ever bought,1.0
batteries leak satisfied,1.0
cheap batteries,1.0
dead im baffled,1.0
dead,1.0
awful batteries dont work,1.0
good,1.0
terrible didnt last weeks,1.0
batteries week would work several devices,1.0
batteries dont last long waste money,1.0
fix leaking water pump,1.0
short battery life,1.0
sent old dead batteries,1.0
utterly worthless staying power,1.0
dead,1.0
good price ugly design,1.0
entire pack batteries dead,1.0
shortest life batteries ever waste money,1.0
batteries absolute garbage little capacity,1.0
die way fast,1.0
waste money,1.0
exactly expected,1.0
trash lasted hours,1.0
batteries leaked charging station,1.0
disappointed,1.0
batteries didnt even last one monthvery dissapointed,1.0
substandarddollar store batteries last longer,1.0
die way fast,1.0
compatible south african plug standards bought unnecessarily,1.0
love thats wife son daughterin law grandgirls love,1.0
dollar store sunbeam batteries lasted longer crappy things disappointing,1.0
batteries explode terrible quality,1.0
batteries last minutes waste money,1.0
dont work still regular brands,1.0
dead arrivalplease stay away,1.0
terrible,1.0
need cancel auto shipment,1.0
bad even last two months mousea mousethats call utter garbage would return possible,1.0
battery storage life lasted months stored indoors,1.0
amazon sucks batteries drain like water toilet,1.0
good dont last week,1.0
batteries arrived drained,1.0
dollar ac usb power adapter buck,1.0
returned later purchase,1.0
worst batteries ever tried poor battery life compared major name brand alkaline,1.0
batteries leaked mouse killed cool amazon,1.0
batteries last waste money,1.0
broke month ordering,1.0
needed thank,1.0
lost power within minutes digital cameras,1.0
goes week,1.0
packs useless confirmed low charge multimeter,1.0
run quickly,1.0
dont last long,1.0
dead arrival,1.0
fit device,1.0
multiple batteries leaked ruining one toy causing messes items poor quality,1.0
life energized duracell batteries,1.0
barely k content lags lot worth returned,1.0
batteries must old dont work,1.0
suck week stopped working garbage,1.0
im truly disappointed batteries,1.0
functioning,1.0
total crap batteries last minutes,1.0
work,1.0
none batteries work,1.0
tried flashlights neither worked,1.0
cheap please buy rechargeable batteries instead wasting environment,1.0
let connect library diapointed,1.0
able play youtube thats daughter likes,1.0
onsale cheap good new stars tablet,1.0
dont work dead,1.0
great easy use great pictures great price awesome,1.0
worst battery ive ever used lasts long eveready,1.0
never dont last especially short life cold weather,1.0
grand kid didnt like device get frustrated navigate education video worth,1.0
bad performance slow device worth buying better products available range,1.0
buy inconsistent quality performance leak ruin things,1.0
user friendly sluggish confusing extremely frustrating returned item,1.0
dont last long replace batteries clock almost every months,1.0
first tablet kindle curious updated version disappointed,1.0
