reviews.text,reviews.rating,sentiment
dangerous,1.0,negative
horrendous product thought amazon would good wrong still chinese firstlasts nothing weeks computer mouse disastrous disappointment first time let amazon pity guess careful less gullible,1.0,negative
absolutely worst batteries ive ever used amazon ashamed sell,1.0,negative
dont last,1.0,negative
much power batts,1.0,negative
wrong item,1.0,negative
love batteriesthanks,1.0,negative
dont buy dont last,1.0,negative
brutal dont last long,1.0,negative
booooo,1.0,negative
awful batteries,1.0,negative
wrong item,1.0,negative
thats crap,1.0,negative
batteries dont last,1.0,negative
garbage,1.0,negative
terrible battery life,1.0,negative
terrible,1.0,negative
die fast,1.0,negative
ordered aa,1.0,negative
weak batteries,1.0,negative
navigates easily many channels fast connection speeds,1.0,negative
batteries die super fast,1.0,negative
junk wont charge,1.0,negative
amazon fire tv box fox week broke,1.0,negative
recieve aa recieved cbatteries,1.0,negative
poor quality,1.0,negative
die quickly,1.0,negative
buy duracell,1.0,negative
wanted solar batteries,1.0,negative
wrong size awful worth money,1.0,negative
inconsistent short life,1.0,negative
worst batteries ive ever bought,1.0,negative
batteries leak satisfied,1.0,negative
cheap batteries,1.0,negative
dead im baffled,1.0,negative
dead,1.0,negative
awful batteries dont work,1.0,negative
good,1.0,negative
terrible didnt last weeks,1.0,negative
batteries week would work several devices,1.0,negative
batteries dont last long waste money,1.0,negative
fix leaking water pump,1.0,negative
short battery life,1.0,negative
sent old dead batteries,1.0,negative
utterly worthless staying power,1.0,negative
dead,1.0,negative
good price ugly design,1.0,negative
entire pack batteries dead,1.0,negative
shortest life batteries ever waste money,1.0,negative
batteries absolute garbage little capacity,1.0,negative
die way fast,1.0,negative
waste money,1.0,negative
exactly expected,1.0,negative
trash lasted hours,1.0,negative
batteries leaked charging station,1.0,negative
disappointed,1.0,negative
batteries didnt even last one monthvery dissapointed,1.0,negative
substandarddollar store batteries last longer,1.0,negative
die way fast,1.0,negative
compatible south african plug standards bought unnecessarily,1.0,negative
love thats wife son daughterin law grandgirls love,1.0,negative
dollar store sunbeam batteries lasted longer crappy things disappointing,1.0,negative
batteries explode terrible quality,1.0,negative
batteries last minutes waste money,1.0,negative
dont work still regular brands,1.0,negative
dead arrivalplease stay away,1.0,negative
terrible,1.0,negative
need cancel auto shipment,1.0,negative
bad even last two months mousea mousethats call utter garbage would return possible,1.0,negative
battery storage life lasted months stored indoors,1.0,negative
amazon sucks batteries drain like water toilet,1.0,negative
good dont last week,1.0,negative
batteries arrived drained,1.0,negative
dollar ac usb power adapter buck,1.0,negative
returned later purchase,1.0,negative
worst batteries ever tried poor battery life compared major name brand alkaline,1.0,negative
batteries leaked mouse killed cool amazon,1.0,negative
batteries last waste money,1.0,negative
broke month ordering,1.0,negative
needed thank,1.0,negative
lost power within minutes digital cameras,1.0,negative
goes week,1.0,negative
packs useless confirmed low charge multimeter,1.0,negative
run quickly,1.0,negative
dont last long,1.0,negative
dead arrival,1.0,negative
fit device,1.0,negative
multiple batteries leaked ruining one toy causing messes items poor quality,1.0,negative
