reviews.text,reviews.rating,sentiment
good quality happy thanks amazon,5.0,positive
dont hold charge like top brand,1.0,negative
itäôsadvertisement everything scree itäô cheap,2.0,negative
month slow started good getting slower cleared everything still good,3.0,neutral
enjoy listening music asking research item,4.0,positive
package delivered battery missing battery although perfectly closed sealed,2.0,negative
great checking email watching netflix,4.0,positive
grandson thoroughly enjoyed easy use frequently sends u message picture,4.0,positive
tablet handle basic including email facebook web browsing utube comparison theipad though,3.0,neutral
satisfied sound loses bluetooth connection matter phone use either iphone android,2.0,negative
bought tablet son dont like touch screen poor quality hard move thing around playing game prefers ipad use know ipad quality probably best quality way frustrating returning,2.0,negative
die really quick,2.0,negative
work great great deal,5.0,positive
disappointed amount time battery lasted,2.0,negative
delayed response cant access email account unless give amazon access control everything cant put apps opening page amazon us washington post prefer nyt far fan,3.0,neutral
best tablet decent image lackluster performance,3.0,neutral
way complicated kid kid frustrated trying figure,2.0,negative
battery,3.0,neutral
lot great feature voice recognition great,4.0,positive
daughter us college book best gift,4.0,positive
good tablet child friendly somewhat durable,4.0,positive
first one got slow turned today one work great,3.0,neutral
okay youre using household use tried use speedlites photography ran entirely quickly,3.0,neutral
mine dont appear charge bought plant watering system take aaa battery tried three set aaa battery plant watering system work fine currently rechargeable battery alkaline performance battery dont worki hoping get longer battery life performance battery dont work,1.0,negative
opportunity ti critique,3.0,neutral
tablet bought year old child perfect pricing lot tablet great pricing good product,3.0,neutral
got great cost get kid one left killed sadly setting pain kid keep asking add apps delete old add im starting dislike kid like,3.0,neutral
far good display bright clear iphone paid dollar tablet,3.0,neutral
k capable memory expandablefaster firestickperfect,5.0,positive
nice amazon fire tablet butthe camera clear enough megapixels amazon fire slow wedsite app take forever download think returned best buy buy good tablet lenovo samsung galaxyi gave zero rating star,1.0,negative
bit difficult initially set ease operation would great tablet doesnt hold battery well seems maybe hour two go time reup battery life,3.0,neutral
overpriced free kindle purchase,1.0,negative
battery good price sure charged seem run faster battery used,3.0,neutral
last long energizervery comparable toy r u battery,3.0,neutral
great gift grandchild per unit price im grandpa year,4.0,positive
great tablet user friendlysize good easy setup,5.0,positive
work,5.0,positive
battery life great kindle unlimited lame web browser need work,3.0,neutral
grand kid didnt like device get frustrated navigate education video worth,1.0,negative
purchased gift offer average expectation performance,3.0,neutral
many function app voice controlled great speaker qualit,5.0,positive
theyre battery yeah,4.0,positive
matter asked either alexa didnt know answer offered order item didnt ask prime membershipcouldnt even get weather forecast rightkept giving forcast area mile awayi returned itby way whatever ask ok google get answer usually correctnever asks pay membership offer order something online medont need dont want,2.0,negative
ive bought replacement charging wire one micro mail end insert fire charge one two us wire become loose fall definitely wont stay put charge anyone else problem whats solution would recommend,1.0,negative
user friendly affordable nice feature good battery life,4.0,positive
great purchase year old girl easy way peaceful long car ride,3.0,neutral
great kid much space apps want,3.0,neutral
given friend gift hope like,3.0,neutral
amazon added ad less expensive tablet annoying,4.0,positive
great quality,5.0,positive
perfect,5.0,positive
great tablet child adult especially dont like heavy tablet,4.0,positive
worst battery ever encountered anywhere year life appalled amazon put name guarantee first amazon purchase would never done business wrapped pack battery cellophane would certain someone else used returned battery amazonnone battery anywhere close full power couldnt provide adequate power anything tried batterypowered item work properly candle flashlight dim would required physically capable carrying avoid tripping foot none appliance remote would even turn respective appliance battery inserted every item tried battery also stopped working completely due dead battery less minutesobviously returned battery im sure would done mom heart attack shortly received grateful well neither cardiac surgeon rely batterypowered device,1.0,negative
dont last long hoped,3.0,neutral
impressed think save money get smart watch instead expensive item doesnt enough money spent weather timer adding thing calendar thats enough half thing ask said doesnt understand,2.0,negative
last would love get money refunded,1.0,negative
love echo show elexa helpfull answer every question,5.0,positive
work fine,4.0,positive
using two set going agree reviewer say dont last long name brand battery,2.0,negative
bought pack september half battery package work purchase,1.0,negative
budget friendly dont last bought battery operated candle typically use battery week twice battery barely lasted week disappointing amazon produce usually good would recommend,1.0,negative
great tablet great price lot good feature,4.0,positive
fun would buy informative keep say understand question,2.0,negative
pleased,5.0,positive
none first eight battery opened worked tested battery confirm battery problem confirmedwow,1.0,negative
ive using kindle forever became apparent needed android device window phone love serious app limitation thought fire could get tablet upgrade kindle time even geek squad help could never figure upload apps needed onto fire back went replaced lenovo tablet trick,2.0,negative
bought amazon fire tv replacement cord modelbe aware purchasing fit older fire modelsalternate non amazon power cord available older version fire tv amazon,2.0,negative
like product would definitely recommend product,4.0,positive
perfect thanks,5.0,positive
long life bought aa battery order work fine,1.0,negative
ok beginner young person someone learning technology,2.0,negative
working great,5.0,positive
got one mother law mostly play game look thing online tablet good minimal browsing gamesnot expert use,3.0,neutral
dont last long higher end rechargeable regular batts would say half time,2.0,negative
since purchased returned couple time dead return first problem didnt paired,1.0,negative
super slow decent qualityi would buy another memory lacking gig recommend anyone,2.0,negative
bad thing doesnt google,3.0,neutral
deal,5.0,positive
work great love portability book overall great product,4.0,positive
ok purchased battery last long cost paid,3.0,neutral
went use first time exploded remote put literally loud pop black liquid leaking remote hand needless say scared death,1.0,negative
nice kid parental control apps function,4.0,positive
review amazon seemed awesome little know chronic problem port tablet bought christmas went charge first time nothing already loaded paid several apps money also charging cord came appears used there wear edge went online see could find issue everywhere problem around year android ultimate culprit failed fix source plug charger there click know place slide weve apple product several year never issue first droid product purchase cant even charged beginning going back bestbuy buy another ipad mini cost much much reliable,1.0,negative
last less average alkaline battery,3.0,neutral
