reviews.text,reviews.rating,sentiment
i do like the amazon tv idea i do miss my dvr i also miss all of the live tv abilities though until amazon tv gets live tv abilities this only gets  stars works well easy connect but there are alot of reasons to miss cable tv the channel selection needs to improve,3.0,neutral
does what you would expect for the price not a spectacular device but it gets the job done,3.0,neutral
batteries die extremely quick,3.0,neutral
im thinking this must of been a fluke it never worked had to return item but received full refund,2.0,negative
looking at the picture and seeing it was th generation i assumed it would be a great device i had an original kindle but i stopped using it because it wasnt backlit i thought an th generation would be backlit and the picture makes it look backlit but it is not after  minutes on the phone with amazon trying to make it brighter the technician finally realized that th generation is not supported with backlights i took it back to target and purchased the paperwhite which was more money but definitely worth it the th generation one is smaller so i assumed that was the reason for the price difference target made the experience pleasant,1.0,negative
for the price and quantity i was sure this would be a great buy sadly not all of the batteries worked i first thought the camcorder we purchased was defective but when i swapped out the fresh new batteries for a second round of fresh new batteries from the same package the device magically came to life boo to you amazon for selling batteries that dont actually work,2.0,negative
prosgood qualitygood valueconsnone,5.0,positive
works great excellent voice recognition tells great jokes too,5.0,positive
purchased to use as a reader was told that it had play store and after many attempts we couldnt get it to work properly,3.0,neutral
more then half did not work ,1.0,negative
easily stored very lightweight keeps me entertained,4.0,positive
this tablet was a gift for my offices white elephant exchange also bought one for my boyfriend great inexpensive tablet for amazon centric people,4.0,positive
ive used theses batteries in several devices now and they always run out of juice much faster than typical aa batteries,2.0,negative
great buy,5.0,positive
this tablet is sufficient for secondary use at times searches are slow and memory is limited,3.0,neutral
great,5.0,positive
these batteries leak not satisfied,1.0,negative
new larger screenis great for watching prime movies and reading books,5.0,positive
great product,5.0,positive
bought for my kids they love it works well,5.0,positive
work fine,5.0,positive
ok feature operating instructions easyalexa feature is plus,4.0,positive
easy set up but did not meet my needs of being able to access spectrum app ,2.0,negative
one of the best products ive bought in the last couple of years,4.0,positive
nice price,5.0,positive
very sturdy and functional,5.0,positive
theyre cheap for a reason  they dont last nearly as long as energizer or duracells from what ive noticed,3.0,neutral
first day of purchase it overheats defective product,1.0,negative
amazon batteries are high quality,5.0,positive
great case ok tablet no android play store weak micro usb port its isnt an straight out the box tablet had to install android play store on it and as far as the charging port goes im on my rd one but best buy are the best with their return policy,3.0,neutral
good product,5.0,positive
bought this for my  year old son this was his second tablet just his speed,4.0,positive
need a cheap alternative to a tablet this is it ,5.0,positive
the picture is crystal clear the resolution is amazing given the price,4.0,positive
works great a gift for my daughter for christmas,4.0,positive
this device plays on the fact that you must subscribe to their stuff or this is just a empty cylinder that tells you the weather and thats it and even then there is a subscription required for everything google home at least plays general music lists and a number of other key actions,1.0,negative
works well easy packaging,5.0,positive
works well easy to use battery seems to be good would buy again,4.0,positive
these are odd several times so far i have put them into some device and the circuit does not work so it seems dead tested the batteries with a tester and they read  volts so they are fully charged put in energizers duracells that show  volts and the device works perfectly tried one of each brand and got mixed results good price but ray o vacs are about the same and no problem i dont know what is wrong but for now i dont like them,2.0,negative
we love this product and enjoy streaming movies and such,4.0,positive
not suitable for toys drained within just a couple of days,1.0,negative
these batteries do not have a long life,2.0,negative
i wish it has some more of the apps from the play store some are just not there,3.0,neutral
great apps works great playing amazon movies very happy,4.0,positive
great little tablet for the price got on sale at best buy for  on black friday,4.0,positive
my old kindle charger works fine  that wasnt clear when i bought a new kindle white and now you want to charge me  to send it back forget it ill keep the extra charger,1.0,negative
terrible battery life,1.0,negative
great for kids easy to use great price would recommend,4.0,positive
my yr old was able to operate it flawlessly the included case works its magic to keep the tablet from any accidental screen cracks,3.0,neutral
could not get it to work properly i put the app on my phone and my computer i reached out for help they responded and it still didnt work i finally got frustrated and returned it,1.0,negative
good inexpensive batteries,5.0,positive
horrible amazon batteries are the worst i have a battery operated little decorative light string  duracell batteries will light those things for weeks  amazon batteries last about and im not kidding maybe  hours complete waist of money dollar store batteries are better do not purchase these,1.0,negative
wore out quickly,2.0,negative
just trying,4.0,positive
i am not too happy with the kindle its ok but it seems to run slow and sometimes the sd card isnt reading would not purchase another,3.0,neutral
i bought this on black friday simply because it was dirt cheap it works ok but kinda slow,2.0,negative
during my first recharging they were leaking and wrapping was coming off a waste of money,1.0,negative
nothing spectacular works as well as competitors but cheaper to buy,4.0,positive
this is great like having a robot brain in your house,4.0,positive
