reviews.text,reviews.rating
Do not last near as long as other 'off brand' batteries,1.0
"This 7"" 2015 version should have been marketed to children only. It's like a very ""dumbed"" down, cheap version of the better FireHD and HDX. Screen is not as good, battery life is bad, no mirroring to TV and it's slooowww as can be. If you've never owned another kind of Kindle you will probably be accepting of this watered down version. For those that know what a real kindle should be like, you may want to pass on this one. Another version should be along soon and since they can't get much worse than this one you'll probably get a better one. I got mine on Black Friday for a little over $30. total with shopping discounts and I'm still sending it back! That's how disappointed I am with it.",1.0
These batteries die almost as fast as Harbor Freight free batteries. I expected top quality and got bottom quality.,1.0
"The first time I buy my first tablet it came on but it only showed that it needed to reeboot, it then shut off by its self.",1.0
Tore within one week and is baby blue and very shear not green.,1.0
I bought 2 of these on Black Friday and these have to be one of the worst buys of my life!!!! The screen saver can't be changed so my kids are forced to look at ads every time they want to use their tablet. Apps are ok and to be honest I could have dealt with the ads but the final deal breaker for me is the sd card. I bought my kids sd cards so they can have more than 4 games and the tablet doesn't read it or something. It says sd card inserted but it won't download apps to the sd card!,1.0
"Slow, advertisement plagued. Save and spend money on something better.",1.0
"I got two of these batteries with my Fire TV stick. Loaded them in and everything was good for 1.5 days. Then the Fire TV stick stopped responding. I trouble shooted with no fix. Called customer service and they had me trouble shoot too, started by saying can you change the batteries.... my response ... seriously, you want me to change the batteries, it's a freaking TV stick what could possibly be wrong, the batteries are brand new and came with the device. So I was changing the batteries as I was saying all that only for the new batteries to fix the problem. So.... these amazon batteries died in 1.5 days. How does that happen",1.0
"Shame on Amazon for putting their trusted name on this garbage! Nothing I put these batteries work properly whether AA, AAA, C or D, not the blood pressure cup won't fill with air before going into Error, motion lights that flicker when these are put in, remotes that work on and off - which all goes away with name brand batteries!",1.0
They do not last at all! I never leave negative reviews as I am generally satisfied. But logged back in just to do it! They are awful!!!,1.0
This product is real bad from amazon. Although i dont expect much from a cheap tablet however this was even below my expectations. Its way slow to respond to anything or everything. My 3 year old goes after my ipad when i give him this....wont recommend to anyone.,1.0
"As soon as i place the new battery in my card alarm, ut says 1 bar charged",1.0
I ordered these thinking they were rechargeable (I recognize the error on my part but that is not my complaint here) .. so when I received them and used them I was not surprised that they died VERY quickly. Upon attempting to recharge these I figured out they aren't rechargeable (Once again big duh on my part)..Now I'm seriously surprised that I'm only getting a few hours of use out of them!! like a quarter of the use that a typical battery should offer. Horribly disappointed.. I will go back to the name brand batteries for sure.,1.0
This product wouldn't turn on nor charge and then store couldn't locate another one for me.,1.0
"I put two of these batteries in my wireless mouse and in less than two hours use, they had burned up. The mouse quit working and I went to check the batteries and they literally burned my fingers trying to get them out. I will throw the rest of them away and NEVER buy these again.I know I'll never get my money back. I'll just write it off as a lesson learned.",1.0
My old kindle charger works fine - that wasn't clear when I bought a new kindle white. And now you want to charge me 6.95 to send it back. Forget it!! I'll keep the extra charger,1.0
"Very, very, very difficult to turn on and off, not sticky enough and kept falling down, complete waste of money.When I could get them on and they were sticking, the lighting effect was very nice however, the quality of the product was zero.",1.0
"All I can say, as soon as I opened this tablet it never ever turned on, I was so upset as I've followed the troubleshooting steps from other users online and still it never worked, I fully charged the tablet and tried again and still it never turned on. I had a very hard time at the best buy returning this item; had to spend an hour and explained the situation to them; they never believed me this item came to be defective; after storming out and after a while; they have decided to accept the return and gave me credit for it.I would never buy an Amazon product ever again. piece of junk, bad quality product.Thanks,",1.0
"Worst batteries I ever bought. Less than one hour after installing in remote, popup on tv said remote battery low. Left them in and got about four hours more use before it wouldn't turn on the receiver. The AA's I bought seem to be fine. Not sure why the AAA's didn't last. Put 4 new ones in the remote ... we'll see how these do. The second set of four were no better than the first. Low battery warning after a few hours use (surfing dish tv program guide). All showed just over 1.5 volts before installation. Checked again when first low battery warning came up. Down to .8 volts. Guess I got an old, bad batch. Nothing but Duracell from here on out. Would not recommend these batteries !",1.0
This review can not be valid due to the device did not work for me. I would put it down. Just upgraded to the ECHO instead of the tap.,1.0
"I purchased one as a Christmas gift. from Best Buy on line...it worked fine the first month,did not use it for a few weeks. I went to turn it on..did not get nothing .The lefthand bottom corner says ""FASTBOOTH mode"" It is locked on this and I get nothing else.Did not buy any product protection so I guess it is a complete loss.",1.0
I was excited about the Amazon echo. However after getting it home setting it up and finding out how limiting it is that excitement went away fast. The echo couldn't answer the majority of questions or would be asked a question and instead of answering it would play country music which I never asked for.Unless you have smart home features like a smart thermostat or smart lights etc it is useless aside from being a speaker which for the money it isn't a good speaker.I did however try it for a week finding it not worth it or that googling questions was easier to answer. Even asking it about what movies were near me etc was a pain. Some said maybe I got a defective unit which wasn't the case the echo is just limited in what it can do.I would say save your money this isn't worth it yet.,1.0
"DO NOT PURCHASE! These batteries leaked in a machine I was using in my kids room to project stars on the ceiling. When I picked the projector up, it leaked battery fluid on me and burned my arms and legs. It could have gotten on my children! The leaking fluid also ruined the projector.The batteries were new, stored at room temp, used at room temp, not recharged, and not exposed to any fluid or abnormal conditions. Disposing in the appropriate manner.ETA: I was VERY happy with Amazon's resolution despite this bad experience. Thanks Amazon... I'll order batteries from you again. Just not your brand...",1.0
"I waited a couple months to review giving Amazon time to make this product equal to the SONY Dash from nearly a decade ago, it isn't the screen provides nothing of value and you can't turn of amazon tips! you have near zero customization can't even move the clock to the other side of the screen. And something that a sony dash did nearly 10 years ago pandora or prime music as an alarm! seriously this is the biggest fail! Run away from this half baked Amazon disaster!",1.0
I updated my credit car d more than six weeks ago. I won't bother you in the future.,1.0
"Everything I had read was a bit confusing on how the Echo can control it.. but low and behold it has the Alexa service built into it. The Echo CANNOT control the Amazon Fire TV which was the sole reason I bought it. Well.. also in hopes that HBO Now would have Surround Sound on it, but of course it didn't. So they're both at fault here and the reason why I returned it immediately. Since neither of the above worked, this made the device completely redundant with my Chromecast.",1.0
Worst batteries ever. I use them in my remote and have to switch them every couple of weeks. Do not buy,1.0
Never knows answers to question or has the song I want. And always says not getting connection. It sucks,1.0
"Very Poor battery life... Did not even last 30 minutes in my device where I've had top notch Energizer batteries that lasted weeks if not months!!!These just do not compare to top of the line batteries. Maybe good for a TV remote, but that's about it.",1.0
I feel like I have been completely lied to about this device. Despite reviews claiming a hands free mode that does not exist in the settings. I just downloaded the app for the first time today and there is no hands free option to enable in settings. And Pandora said it's not available in the US on this Amazon tap. Thanks for ruining a birthday Amazon,1.0
"This is exactly like any other usb power charger, making it unnecessary. A basic charger used for an ipod works to charge the kindle fire within 3-4 hours.",1.0
Our daughter loves the size and portability of the product. Her iPad died and she uses her Mac book for school so this was a great choice for her to read books on.,1.0
It's 2017 no reason this tablet cannot produce clear 1080 or higher resolution. I get it it's cheap and for that it's good but it just feels cheap and omg so manny pop up adds.. Comeon amazon,1.0
"I bought these batteries to charge my insulin pump - a life critical device. After I started using them, I found my pump worked terribly and after testing all other variables, popped out the Amazon battery and replaced with a Duracell, and everything was back to normal. I won't use these again.",1.0
Wrong item.,1.0
These things only last about a week in a Roku remote I will not be reordering.,1.0
Dont have option for password ask you before buying apps once you authorized as allow its done.Not as many free good apps Like apple have it,1.0
"Four in the batch leaked and caused a mess in my charger and device. I threw out the remaining to avoid future problems. In addition, the batteries didn't hold their charge. I presume I must have received a bad batch based on all the positive reviews.",1.0
Wish I didn't buy these. Amazon does a lot of things well but batteries No. Not so much. These do not work for more than a moment. Lay the extra for name brand.,1.0
This tablet has little cpu power and is really only made to work with the Amazon Prime crowd. Not what I was looking for.,1.0
"Gave these a fair chance but the fact is they simply do not last as long as Duracells. I've gone through more than half of the pack I purchased and I am easily replacing batteries twice as fast for the same devices, same use. I won't repurchase.",1.0
You get what you pay for. They do not last very long at all. It's better to buy Duracell.,1.0
"Purchased for my Father In Law - this was the most frustrating experience. Not user friendly - not friendly at all. Stick with a name brand tablet - Apple, Samsung, etc.. Avoid this device at all costs.",1.0
Low quality batteries - they die after using a few times. Better to go with big brand name,1.0
"I have had mine for about 6 months, now 2 won't last mare than a week in my TV remote. Pretty annoying!",1.0
Worst batteries I've ever used. I used them in a sensor light. They only worked l l/2 months while my prior Energizer batteries had worked for 5 l/2 months. I can see why these batteries are so cheap. I definitely would NOT recommend them to anyone.,1.0
They don't hold a charge very well.,1.0
"Bought these for my kids for the holidays. No you tube app installed, so you have to find a 3rd party substitute. Ads pop up all the time, with an option to remove them for $15. Amazon states that since I purchased the tablet on sale for $15, this is how they can afford to compensate for that revenue. I would have returned them had we been able to find the receipt.Maybe a good product, but not for us.",1.0
Not sure why they won't recharge correctly. Second time this happened with Amazon. Going back to a brand name.,1.0
Horrible batteries. So far every battery we have used hasn't worked!!!,1.0
"I was super bummed about these! I purchased them exactly 3 months ago today. I only used 8 batteries when they arrived, and they have all started to die this week already. When I went to replace them, none of the unopened ones work! So to recap... they did not last long, and only 8 of them were even usable. Very disappointed as we are big Amazon users.",1.0
They don't work. Still to regular brands.,1.0
"These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity.",1.0
Horrible quality. These last 4 to 6 days in an Xbox controller and maybe 10 days in a remote. Horrible quality.,1.0
"Just got this as a Christmas gift and it doesn't stand.. Nothing to secure it to make it stand.. You can get it to stand maybe to watch a video, but don't touch it. It will fall down easily. Certainly don't stand it and actually use your Fire HD6 with this cover.. You can't.. Falls right over. I feel really badly for the special person that bought me this. Waste of money. I had already bought my own cover, for a lot cheaper, that has more shock protection and that one won't stand on end, but at sits securely at a tilt which makes it more useful for me. The cheaper one I bought on Amazon also has a magnetic closer to the cover stays closed. This one does not. Not sure how to tell the person who bought me this that I don't like this one at all. I'll feel bad telling them, and they'll feel bad hearing it. Bad all around.",1.0
"Disappointed... In my handheld Microsoft wireless game controller these last about 1 week. Duracell/Energizers last 3-4 weeks... Amazon needs to select a higher quality re-branded battery to sell as Amazon Prime. Amazon could dominate this market by simply selling, close to these prices, a 5 longer lasting battery than Duracell. DON'T PUT THESE IN ANY EMERGENCY DEVICE... like smoke detectors, emergency flashlights and radios.",1.0
Half of the batteries received were dead and there is no replace option.,1.0
"Hated it ! You have to purchase everything from Amazon ! Took it back within a couple days! Got the roku ,,,,, way better !",1.0
These batteries do not last or work well. Spend the extra buck and buy Duracell.,1.0
Trying to contact seller. Product very tarnished and rusty like it's been used or very old. Very disappointed by appearance and quality,1.0
Both packs were useless. Confirmed low charge with multimeter.,1.0
First day after purchasing the tablet the screen turned green. Since then it has given us problems with the screen turning green. I will be returning the item.,1.0
"Used it for a mouse - works OK. I have a battery powered egg beater and when I put these batteries, the beater did not perform at full speed. I had some Duracell batteries which I used and it was back to life!!So, I guess these are low powered, Very disappointed",1.0
You need gooooood wifi for this. If the wifi isn't good like it's in and out this will not work that good. You also need the app to set up alexa. I would only recommend this if you have great wifi,1.0
These batteries are not lasting at all.... very short life on them... super disappointed...,1.0
Stopped working in less than 3 months.,1.0
This doesn't power anything. I got this for my dad for Christmas and we just thought his Kindle was bad..nope..tried it on other things and it won't charge anything...I want my money back or a replace meant...maybe this unit is just bad! But 20 bucks down the drain!,1.0
"Can't believe Amazon's name is on these pieces of dung. Very short life. I've migrated to Eneloop rechargeables for AAA as well as AA now big savers, as I have a lot of doodads.",1.0
Great deal price wise but don't seem to last very long at all. So really not a good deal at all. Would not buy again.,1.0
Am used to Kindle Fire which I love. No light to read by in the dark. Hard to navigate. This was a gift - would never purchase on my own.,1.0
That's crap,1.0
"Easy to use, load books and to read in out door light conditions. Very light to hold and read.",1.0
Batteries were weak and didn't last a week in remote,1.0
I tried recharging them right out of the box and it says they are bad! I'll by my rechargeables elsewhere,1.0
Bought two of them first one would not charge after the first day. The second one The screen went blank so I have to return it now only after a couple of days of use. Will not purchase any more of this kind.,1.0
"was cheap, can not run chrome stuff, returned to store.",1.0
"I've had amazon tablets in the past and this is the far worst I've bought. It was slow, drained the battery, kicking me out of the apps all the time.",1.0
"I didnt like it from the begining because it isnt very ergomatic. It was easy to hit the wrong button shocking your dog when it was last set to vibrate. It was veru easy to push buttuns so you cant put it in a pocket. Then a week into use while replacing a probe, I hand turned to tighten it and the prope broke with the scew end broke off level and no way to get it out. I bought a product that had a different control style (so many manufators use the same controler design) and i hsve no problems with handling this one. Another problem is that the reciever can be shook off the collar the more it is worn. We lost the reciever after a few weeks. It might be ok if your dog is a fast learner and plan to use it for just a few days.",1.0
These batteries are crap. Last a few days in xbox controller. Energizer lasts months. Don't waste your money.,1.0
Batteries dead as of June 1. I did not use half of then. Good for 6 months.,1.0
"Ordered these for my son's remote control truck. Put them in both trucks and within a week the batteries in both trucks exploded, ruining both of them. So not only am I out the money I spent on the batteries I have to buy a new truck that costs 50. Spend the extra money and buy Duracell!",1.0
"This thing is garbage! Do not buy! It is the slowest charger I've every had. It is NOT a fast charger. It is a disgrace that Amazon is offering this product as a fast charger, and discontinued the previous all black square, blocky fast charger which really was a fast charger. This thing is NOT a fast charger. Save your money. Amazon needs to seriously check their supplier, the manufacturer of this junk.Advertising this thing as a fast charger is totally deceptive.",1.0
"I am reading positive reviews and wish I could say the same. Best Buy is great, so this is not a reflection on them, just our experience with the product. We have had this product for just over one month and I have had to contact Amazon Support, perform factory resets to get content to show up, and the device is poorly designed as the SD card pops out constantly, which messes with DRM, and does you no good if this happens when you are not connected to the Internet to fix it. We are returning, and spending the extra money for an iPad. Will not purchase another kindle device unfortunately just based on this experience. If you just use the device for reading, maybe this is for you, but trying to download information to SD card and actually being able to access it has been beyond frustrating, as well as having to do factory resets so content owned/ already purchased on Amazon would show up on the device in the library.",1.0
"Ouch. I bought this Fire tablet, and used it for about four hours, and left it on a charger. A couple of hours later, I picked up the tablet, and the screen was showing a weird 'ghosting' effect, and then the screen went completely black.I twisted the chassis and screen a bit and managed to get things working again, just long enough to do a factory reset and return the tablet.I'm sure I had a defective/damaged tablet, but I was underwhelmed with the quality, and it would be nice if Amazon brought back the higher quality HDX tablets, for people who don't mind paying more for quality tablets.",1.0
"The Amazon Fire HD 8 tablet no longer was able to charge less than six months after being received as a Christmas present. I contaced Amazon, assuming that the was a one year warranty. Amazon tech support navigated me through a number of trouble shooting steps and concluded that the Usb port is defective. I was then told that this product only has a 90 day warranty and the best they could do in give me a 10% on my next Amazon purchase! Wow!",1.0
Batteries last for about 2 days in my Xbox one controller.,1.0
"Ok for kids to mess around with, but not very good quality",1.0
Batteries leaked when in charging station.,1.0
Was very disappointed to see that one of my batteries corroded and leaked in a device within only a few days of placing it in the device. Will not purchase again.,1.0
It's very tin sounding no bass sounds terrible bought a bose sound link and a amazon dot to hook up to it,1.0
"Some work, some don't. Some will power my TV remote but the same batteries wouldn't power a different type of remote. I won't buy these again.",1.0
"If you don't care about live tv this will do great for you. Otherwise, can't ditch the cord yet.",1.0
We are unable to connect WIFI on this product. We have tried to follow the instructions to no avail. It is a useless and expensive item sitting on our table.,1.0
Pretty dumb that you have to.buy a charger port,1.0
almost most of the batteries drained out in 1 or 2 weeks with moderate use,1.0
More then half did not work :(,1.0
Review is based on the fact that I have not able to make a connection with the device.,1.0
"purchased it tonight, time is wrong, you cannot change time manually because it has to have wifi to update the time.....AND IT WON'T CONNECT TO ANY WIFI THAT NEEDS A PASSCODE OR PASSWORD BECAUSE IT HAS TO HAVE CORRECT TIME!!!!!!! THIS IS 2016 TECHNOLOGY AMAZON? I've had many devices, but none that make you find a WIFI without a password (hard to do because starbucks, hotels, etc. all need you to click to agree to their terms for wifi...) all because the time cannot be changed without wifi!!!Returning it tomorrow!!!!!P.S. ALSO AN ISSUE ON THE AMAZON FORUMS, SO I AM NOT THE ONLY ONE DEALING WITH THIS!",1.0
"I went with this tablet based on many good customer reviews, but my experience was not a good one. From the start I was on the phone every day for at least an hour with Amazon tech support for one issue or another. Most of the techs were very polite, but not all knew the product very well. At one point I asked one of them about trying to save some RAM and they kept referring me to the storage, which told me they didn't even know the difference between RAM and regular storage. The internet browser was basic and it ran very slow at times, even when all my other wifi devices ran great. Then a day would pass and I'd be trying to type an email and the keyboard would just stop working...wtf??? Come to find out it's a ""known issue"" and ""they're working on it"". After two weeks of one thing after another I got fed up and just returned it. I wanted it to work, and gave it a good run, but just not quality stuff. To me it was like Walmart trying to build their own computer when they're obviously not a computer manufacturer, neither is Amazon. If I were you I'd look at a regular Android tablet from a reputable PC manufacturer, which is exactly what I did next. I got an ASUS tablet for only a few dollars more, and it's unbelievable. 1000% better in comparison to the Amazon Fire HD8. Save yourself the aggravation and go with ASUS or some other company that is specifically in the computer business full time. Sorry Amazon, not this time!",1.0
I got a bad batch. 4 of them arrived dead. I would have sent them back but I missed my window.,1.0
These last about 5 hrs in a roku remote using the headphones. Really disappointed in how long they last.,1.0
"No reason. This product is described as 5W, 1 amp. The Kindle line is mainly 5V (4.8V, what's the difference) and around 1 amp, which is 5 Watts (5W). Why the mystery, guys Also, this deal is for US 110V market only I travel. I like that the previous simple FIRE charger was universal (i.e. 100V-240v). I like that the first Kindle charger was also universal. What are you people doing Or, is it that the copywriter in this case just doesn't understandFor those who don't understand the details of electricity, ANY device will tell you what it needs to feed. Voltage (V) is one thing to look at and your charger needs to say something within the range of 100 and 240 volts to meet your device need. As far as AMPS (A). If your device says it needs 1.8 A. It's perfectly fine to buy a charger that has a rating higher than that. Like 2 Amps. The device will only drink as much as it needs. A device that needs 1.8 A plugged into a 2 A charger just means the charger is taking a nap. Just avoid situations where your device needs more Amps than a charger can provide. It won't necessarily explode but it will extend charge times and is generally not recommended.",1.0
Very poor batteries. I ordered a box and so far about 50 are either bad out of the box or very soon after.,1.0
Second purchase of an amazon battery product and just as disappointing as the first. Batteries don't last very long and they quickly leak battery acid. Installed for less than 1 year and already leaking in two separate devices stored in different conditions. Will never buy amazon batteries again. Definitely not worth the few dollars saved.,1.0
Right out of the box it didn't work. We took it back and the Geek Squad couldn't get it to work either. Great disappointment for my 9 year old boy since it was a Christmas gift.,1.0
"Lasted for barely any time at all. I have no idea why some batteries last longer than others but I can attest that these were stored in the exact same condition in our home as another brand of battery and the Amazon ones lasted for far less than half the life of the namebrands. I'm always willing to give Amazon products a try, but these batteries left a lot to be desired.",1.0
I opened up this package fresh and put two AA batteries in my Xbox one controller. It only lasted for a few hours of gameplay. When I took the batteries out they seem quite warm. I used my heat gun and they were 115F. I got a new set of two batteries and placed it in my controller. They only kept the controller on for less than a minute. When I took the batteries out one burned my finger. I grabbed my heat temperature gun and in certain spots it registered over 127I'm not going to try and use anymore in any electronics. I'm not sure what's going on here Amazon.,1.0
"Purchased these 3 months ago in addition to a higher end () brand that came with a 9 docket charger. The higher end rechargeables are still going strong. These leaked battery acid all over my charger and ruined one docket, and ruined an under cabinet puck light. Save your money! They won't last!",1.0
"From the minute you turn it on there's advertising. The OS is very different from a standard tablet OS - I couldn't get an app that I wanted from the Google Play Store - it just wouldn't work on this. As I said before, I found the amount of advertising just ridiculous.",1.0
"I totally love the Kindle Fire tablets purchased for my grandkids. My sister purchased one in our hometown for my mother. She is equally happy. My granddaughter and grandson spend their wind down time in the evening on the tablets playing their favorite games. In addition, they want a dog and conduct research for the type of dog that the would like. Overall, the tablets are easy to use and provides technology for them when they visit every other weekend. I am pleased.",1.0
Dangerous,1.0
"If I could give it a lower rating, I would.This is nothing more than a speaker, and a big one.It is NOT wireless so you cannot even take it outside w/o a power source. You cannot ask questions and have Alexa search answers. Very expensive. Would like to try google but since I cannot return this - I can't justify the price. Everyone said give it time to like Alexa. I gave it too much time and did not realize you had to return within a time frame (my bad).",1.0
"When you buy bulk batteries normally you open a box and have a bunch of batteries. With amazons frustration free packaging you open a cardboard box and find pain, hardship and loathing. I sprained a wrist trying to get the batteries out of the individual 4 pack space age metal plastic wrapping. It's terrible. It's also the first amazon product I didn't like. The first terribly packaged amazon product I've ever seen.",1.0
These batteries are absolute garbage. Very little capacity.,1.0
"The touch and loading the content is very bad, it doesn't respond quickly and it very slow",1.0
Not worth a crap don't waist your money. I purchased these for under cabinet lighting and they hardly have enough power. The light is way more dim than other batteries.,1.0
"I purchased this firetv to upgrade my from first firetv version as I have a samsung 4k tv, this new firetv recognized my hdmi port as 4k compatible when I set the resolution to 4k on video settings, after trying all posible settings, this bug only gives 1080 even playing 4k content. firetv1=firetv2.",1.0
Did not work right out of the box; bad hard drive. Read other reviews that stated the same issue. Would not recommend to anyone. Save your money.,1.0
"I went through all 48 in less than 2 weeks. I can't lie and say they were awesome, when they were not.",1.0
Don't waste your money. They last about 2 days in a wii remote.,1.0
This batteries have been disappointing. Use them for holiday decorations and some of the items that used to go for weeks are not requiring batteries every couple of days.,1.0
"Just purchased in October and replaced the batteries in my camping lantern this past week using these. The batteries leaked inside the lantern so badly that it wrecked the device altogether. I attempted to clean the contacts and use a different brand batteries, but enough battery acid leaked that the plastic and internals have a permanent coat of oxidation on it. Had to buy a new lantern. Do not plan on purchasing again in future as the batteries are ineligible for a return at this point.",1.0
I will not purchase these again. They last about 1/2 the life of the Duracell ones.,1.0
Ive gone thru half the box. Everyone of these batteries lasted for about 10 minutes and then died. Not happy at all! Wasted money on something i needed.,1.0
"received the wrapping paper thank you.but no batteries ever came,nor were they in the package with my wrapping paper",1.0
Bought this for my daughter(3) and she can't even use it because it is NOT kid friendly. It is so incredibly slow!! It freezes often and does not seem to work without wifi like it is supposed to. Also was supposed to come with a year free of Amazon free time and we have been charged for it every month !( it requires you to put a card number in before initial use. ) Keep calling Amazon and the foreign people can't seem to figure out the problem. Don't buy!,1.0
"It's very appealing for the price, but know in advance that the warranty is only 90 days... I did not. So when my sons device stopped charging due to a lose charging port a little over 2 months after he got it, I didn't rush to call. I have been taking care of seriously ill family members so I put customer service on the bottom of my list of priorities since I thought I had time,,, especially knowing that these types of calls can sometimes take hours which I didn't have. Today my son was home sick, so I had the day to do the things at the bottom of my list so I called Amazon. 52 minutes later, after doing all their trouble shooting steps THREE times and being disconnected once, she decided to tell me that my warranty was only for 90 days but she would be happy to help me buy one for only $49.99........ Ok. After I calmly explained to he that that was full price and I wasn't about to spend that again on a device that barely made it two months, she put me on hold and 5 minutes later she told me that they would generously give me $10 off my next purchase.Moral of the story, know before you buy & if you still buy, call the minute the thing breaks, even if that means your mom will be an hour late for chemo I guess.Also, during my 45 minute search for who to call about the defect (since it wasn't on the box) I found the Amazon support number on a thread with at least 200 other people talking about their defective charging ports. Keep that in mind.If $50 is something you can spend every 2 months, it might be worth it????",1.0
"batteries suck! brand new out of box dead or close too. Change smoke alarms every month and remote batteries every 2 weeks.junk dead, 3 different boxes and sizes of amazon",1.0
"3/4 of the package have been duds. Lasted about 15 minutes. Now I get to go to the trouble to return them. When you shop with Amazon, it's to save time. This defeats that purpose.",1.0
It's seems as thought all of the batteries in the package are already dead. They are only lasting 3-4 days in the devices I'm putting them in. Fairly disappointed,1.0
These batteries don't last half as long as the RayoVacs I usually get.,1.0
This device would be the best possible tablet for the money if it had Google Play. However Amazon chose to block access to it. This took their well made tablet with a beautiful screen and great performance from an amazing value to a waste of money. This is my last amazon branded product.If you use a lot of apps or want specific apps shop for another device.,1.0
All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!,1.0
"Bought this for my Mom as a gift and was really disappointed. This device DOES NOT RUN FULL ANDROID. You cannot get third party apps even though they sell it as tablet. This device is only good if you only use Amazon (shopping, books, games), otherwise you can't download anything - not even a weather app. Not worth my money to be so limited - Returned the device and got the Lenovo Tab 2 A7 and we are MUCH happier with it!",1.0
This is useless. I have tried to calibrate it to my smart home. Pointless.,1.0
No longer takes charge from manufacture charger or any other type of charger. Product did not last very long since had 7 months.,1.0
During my first recharging they were leaking and wrapping was coming off. A waste of money,1.0
It wasn't what I thought it was the price was too much for what I got Very disappointed,1.0
