reviews.text,reviews.rating
Dangerous,1.0
WHAT A HORRENDOUS PRODUCT. I THOUGHT THAT BEING FROM AMAZON IT WOULD BE GOOD. WRONG!!!! IT'S STILL CHINESE FIRST.LASTS NOTHING (2 WEEKS IN MY COMPUTER MOUSE). DISASTROUS DISAPPOINTMENT. FIRST TIME I AM LET DOWN BY AMAZON. PITY! I GUESS I SHOULD HAVE BEEN MORE CAREFUL AND LESS GULLIBLE.,1.0
ABSOLUTELY THE WORST BATTERIES IVE EVER USED AMAZON SHOULD BE ASHAMED TO SELL THEM,1.0
Don't last!,1.0
NOT MUCH POWER IN THESE BATTS,1.0
Wrong item.,1.0
LOVE THE BATTERIES.THANKS,1.0
Don't buy. Don't last!,1.0
BRUTAL! THEY DONT LAST LONG AT ALL!,1.0
Booooo,1.0
Awful batteries.,1.0
Wrong Item,1.0
That's crap,1.0
These batteries don't last!!!!,1.0
garbage,1.0
Terrible battery life!!!!,1.0
terrible,1.0
These die SO fast.,1.0
I ordered AA,1.0
Very weak batteries,1.0
Navigates easily. Many channels. Fast connection speeds.,1.0
Batteries die super fast!,1.0
Junk wont charge,1.0
HAD THE AMAZON FIRE TV BOX FOX 1 WEEK AND IT BROKE,1.0
DID NOT RECIEVE AA I only recieved Cbatteries!,1.0
poor quality,1.0
They die quickly,1.0
should buy duracell,1.0
I wanted solar batteries.,1.0
Wrong size!! Just awful. Not worth money,1.0
Inconsistent. VERY short life.,1.0
Worst batteries I've ever bought.,1.0
These batteries leak not satisfied!,1.0
very cheap batteries,1.0
They were dead. I'm baffled.,1.0
All were dead,1.0
Awful batteries don't work,1.0
Not good,1.0
Terrible! Didn't last 2 weeks!,1.0
Batteries very week. Would Not Work IN Several devices.,1.0
These batteries don't last long. Waste of money.,1.0
Did not fix my leaking water pump,1.0
short battery life,1.0
Sent me old dead batteries,1.0
"Utterly worthless, no staying power.",1.0
all dead,1.0
Good price with ugly design.,1.0
Entire pack of batteries was dead!,1.0
"Shortest life batteries ever, waste of money",1.0
These batteries are absolute garbage. Very little capacity.,1.0
These die way too fast.,1.0
Waste of money,1.0
Exactly what I expected!,1.0
Trash. Only lasted a few hours.,1.0
Batteries leaked when in charging station.,1.0
very disappointed in these!,1.0
batteries didnt even last one month...very dissapointed,1.0
Substandard...Dollar store batteries last longer,1.0
Die way too fast,1.0
Not compatible with South African plug standards. Bought this unnecessarily.,1.0
We love it (that's me & my wife) . My son & daughter-in law & 2 grand-girls all love it.,1.0
Dollar store Sunbeam batteries lasted longer than these crappy things. So disappointing!,1.0
these batteries explode - terrible quality,1.0
These batteries last 5 minutes. Waste of money.,1.0
They don't work. Still to regular brands.,1.0
Dead on arrival...please stay away.,1.0
they are terrible,1.0
I need to cancel this auto shipment,1.0
SO BAD DO NOT EVEN LAST TWO MONTHS IN A MOUSE....A MOUSE!!!!!That's what I call utter garbage. Would return if possible.,1.0
Battery storage life only lasted 8 months (stored indoors).,1.0
amazon sucks these batteries drain like the water in my toilet,1.0
Not good. Don't last a week.,1.0
Batteries arrived drained. all of them.,1.0
5 dollar AC to USB power adapter for 20 buck,1.0
Returned for later purchase,1.0
WORST BATTERIES EVER TRIED. VERY POOR battery life compared to major name brand alkaline,1.0
These batteries leaked into my mouse and killed it. Not cool Amazon.,1.0
These batteries DO NOT last. They are a waste of money.,1.0
Broke about a month after ordering them.,1.0
Just what I needed - thank you,1.0
They lost power within minutes in digital cameras.,1.0
It goes off in week.,1.0
Both packs were useless. Confirmed low charge with multimeter.,1.0
Run down very quickly!,1.0
These don't last long at all.,1.0
these were dead on arrival,1.0
These did not fit my device...,1.0
"Multiple batteries leaked, ruining one toy and causing messes in other items. Poor quality.",1.0
About 1/3 the life of energized or Duracell batteries.,1.0
Barely 4k content and it lags a lot. Not worth it. Returned!,1.0
Batteries must be old don't work!,1.0
These suck. Had for a week. Stopped working. Garbage.,1.0
I'm truly disappointed with these batteries,1.0
some are not functioning,1.0
Total crap. Batteries last for minutes.,1.0
Did not work.,1.0
None of the batteries work,1.0
Tried them in 2 flashlights. Neither worked.,1.0
"They are too cheap, please buy rechargeable batteries instead of wasting the environment!",1.0
Does not let me connect with my library. Very diapointed,1.0
Not able to play youtube that's what my daughter likes.,1.0
"Onsale is 39.99 is cheap , good for new stars tablet",1.0
They don't work and are dead!!!!!!,1.0
Great easy to use great pictures great price. Awesome,1.0
Worst battery I've ever used. Lasts 1/3 as long as eveready!!!,1.0
never again. don't last. especially short life in cold weather.,1.0
"My grand kid didn't like device, get frustrated to navigate education video. Not worth it!",1.0
Bad performance. Slow device. Not worth buying. Better products are available in this range.,1.0
"Do not buy. Inconsistent quality, performance, some leak and ruin things.",1.0
"Not user friendly. Sluggish, confusing, and extremely frustrating. Returned the item.",1.0
don't last long. Replace batteries in my clock almost every 2 months.,1.0
My first tablet was a Kindle. I was curious about the updated version. Very disappointed,1.0
These batteries have an extremely short life. Below Amazon's standards.,1.0
"mu AA Amazon batteries made in Indonesia were without power after 12 months, bought in May 2016",1.0
"I hate it, there isn't any organization for the apps",1.0
Pretty dumb that you have to.buy a charger port,1.0
Batteries died after a week. Same appliance used Duracell batteries for half a year.,1.0
"batteries used primarily for remotes, batteries last for about 1 month",1.0
"On second use, silver liquid leaked out of batteries, almost ruining the motor of a breast pump.",1.0
Junk - after trying 10 batteries one worked!,1.0
Freeze frequently... No way to trouble shoot or repair it...,1.0
My adaptor doesn't work. Maybe I'm doing something wrong but there are no instructions. It looks pretty simple. So it just simply doesn't work.,1.0
Stopped working in less than 3 months.,1.0
"Junk, they don't work",1.0
The package was open and missing two batteries.,1.0
Basic performance didnt last a week in an AM radio.,1.0
"Could not download my books at home. Three visits to Best Buy, returned it.",1.0
Works great for my 6 year old grandson! he loves it.,1.0
These do not last long. Will never buy again,1.0
"So slow, camera not good, very low quality of picture.. Get Apple iPad mini instead.",1.0
They don't hold a charge very well.,1.0
I have the wrong size batteries,1.0
Died after 5 uses in my coffee frother wand. Won't buy again.,1.0
Some of the unused batteries stored in AC room show signs of deterioration within six months of purchase. Poor battery performance,1.0
These batteries only last 2-3 days in my tv remote,1.0
Half the batteries had no charge.,1.0
doesn't last like the other brands,1.0
Didn't want to go to the sites amazon wanted me to.,1.0
"Slow, advertisement plagued. Save and spend money on something better.",1.0
"NO connection to WIFI, Nook Color, HD+ work on it.",1.0
This is not what I received.,1.0
"Lasted ten minutes in my flashlight. Changed out the batteries again, the next two lasted 12 minutes. Don't buy. Junk!",1.0
None of first eight batteries I opened worked. Tested other batteries to confirm was a battery problem. Confirmed!!!Wow.,1.0
"I dont like ads, amazon needs to find a better way to advertise.",1.0
Wore out way to fast,1.0
Junk...save your money... totally useless batteries that last hours if that.,1.0
Many of the batteries are no good.,1.0
I regretted buying this item.I will never recommend this to anyone,1.0
"I don't recommend buying this. After 1 month of buying this, it won't charge or turn on.",1.0
They don't last. I would not buy again,1.0
I was missing a pack of 4 batteries when I opened the box today. Not impressed.,1.0
Died almost immediately. Ruined their purpose for the purpose needed.,1.0
the amazon fire sucks the pictures and camera sucks and blurry as can be,1.0
did order or get,1.0
"Super Slow, Would not download, Returned after a week",1.0
All the batteries came dead. None of them worked. Don't bother buying these.,1.0
Didn't like it. To many pop up ALL THE TIME. Don't recommend at all,1.0
Tablet was working perfectly. Now the charging port isn't working. Can't charge the tablet. Will be sending back.,1.0
They didn't work. Took one from each pack and - nothing!,1.0
The battery life is much poorer compared to name brands like energizer and Duracell.,1.0
"Liked it a lot,, Liked it a lot, liked it a lot!!!",1.0
They do not work. I had to buy Duracell,1.0
"These batteries are awful, have no power and die fast",1.0
DOA. Had to replace with other batteries. What a disappointment. Threw them away. :(,1.0
These batteries are actually falling apart before we use them. They are junk,1.0
Batteries seem to have very short life.........,1.0
These batteries have a very short life. Need replaced every week. Used ina solar light outside Very unsatisfactory,1.0
they let for about 5 recharges,1.0
Batteries were weak and didn't last a week in remote,1.0
Its very cool great picture good sound. Was kind of disappointed that i couldnt make calls but overall great piece of hardwark,1.0
So slow returning mine for something different any suggestions,1.0
These batteries are crap. Last a few days in xbox controller. Energizer lasts months. Don't waste your money.,1.0
Alot of the batteries were dead or very weak,1.0
these batteries don't last very long,1.0
we will never buy any more!!!! they suck!!!!!,1.0
Product was damaged. Needs lot of improvement on the API's.,1.0
It's very tin sounding no bass sounds terrible bought a bose sound link and a amazon dot to hook up to it,1.0
These batteries were expired dead when they arrived at my house. I was very disappointed.,1.0
untrustworthy...dies really quick and doesn't keep the delivery date.,1.0
First day of purchase it overheats. Defective product.,1.0
die after one hour of use,1.0
It takes forever to download apps. I'm returning it will be getting something else.,1.0
They are bad batteries. Not long lasting at all,1.0
The kindle continues to freeze up when watching a movie. It will also freeze randomly.,1.0
Didn't have hardly any charge to them. A total waste of money.,1.0
More then half did not work :(,1.0
Extremely short shelf-life and usage life would never buy Amazon batteries again,1.0
Most apps you have to pay for basic apps like YouTube will not download without inputting credit card information what tablet for child not plausible to put in credit card information,1.0
They paired these with a order that uses AA,1.0
"Batteries used in fire remote, lasted maybe a week and then died",1.0
Horrible quality. These last 4 to 6 days in an Xbox controller and maybe 10 days in a remote. Horrible quality.,1.0
Never knows answers to question or has the song I want. And always says not getting connection. It sucks,1.0
Batteries didn't last long at all,1.0
its need amazon account for download any apps ............... ita really pain for me . i dont like it,1.0
Don't waste your money. They last about 2 days in a wii remote.,1.0
This is unacceptable spend the extra money for a tablet without obtrusive software and advertising,1.0
"It wouldn't connect to internet. Tried at home, at a couple of Wi-Fi spots and at the store where I bought it.",1.0
run out super quick! would not buy again,1.0
"These don't last long, wouldn't buy again. Spend the extra money get good batteries.",1.0
First eight batteries I tried barely had a charge at all! Don't wast your money.,1.0
They fail earlier than brand names. I assumed Amazon would match in beat others. I won't order again.,1.0
The kindle fire I purchased does not work. It does not start or charge.,1.0
You get wath you paid not comparable to a apple tablet never,1.0
"batteries suck! brand new out of box dead or close too. Change smoke alarms every month and remote batteries every 2 weeks.junk dead, 3 different boxes and sizes of amazon",1.0
This makes my phone way to big can't fit in pockets,1.0
Batteries do not last at all. Worth just getting energizer batteries instead.,1.0
The package was open and had no batteries....,1.0
