reviews.text,reviews.rating,sentiment
cant beat price ive battery die less month use,3.0,neutral
privacy concern recently reported news device limited without paid subscription amazon music,3.0,neutral
good tablet purchase first time tablet user,3.0,neutral
difficult operate problem knowing get instruction computer knowledge prior purchase,2.0,negative
cant connect router hot spot returned sale clerk enough said,1.0,negative
long lasting move pay get,2.0,negative
grandkids love thur tablet sturdy educational tool keep calm less fighting blue boy pink girl absolutely best price awsome thanks best buy,5.0,positive
best tablet buy money hurry get,5.0,positive
son really like tablet wish little bit bigger screen size,3.0,neutral
came look one two star review see people saying thing ive thinking since trying use first shipment battery supposed better previous version replaced ive used battery far one barely lasted week mouse previous version usually lasted couple month least seems like day age rare thing supposedly improved upon theyre actually better guess amazon found cheaper supplier branded battery guess time cancel subscribe save subscription since im one find battery subpar predecessor rest battery pack perform better ill update review reflect thatedited add th battery pack lasted week mouse contacting amazon customer service mentioned previously older version battery worked well wonder changed see larger size amazon battery still carry older name,1.0,negative
currently fifth version kindle fire purchased since came purchased one due ability maximize storage sd card unlike one seemed run smooth kindle fire hdx started adding apps problem since use tablet mainly purchased download show movie amazon prime watch offline,4.0,positive
second echo working smartthings hub various automation device work well skill growing number,4.0,positive
dy fast,2.0,negative
got rid directv purchased amazon fire tv stream video every night picture quality incredible make sure internet speed able keep want watch hd nice able cut cord save money sacrifice picture sound quality,5.0,positive
kindle nice road trip watch movie good battery life cool,3.0,neutral
price great tablet got wife christmas love,5.0,positive
reason tablet can not produce clear higher resolution get cheap good feel cheap omg manny pop add comeon amazon,1.0,negative
got kid love slow fast easy use user friendly,5.0,positive
year old love amazon free time great lot apps free small yearly fee,5.0,positive
satisfied battery recieved good name brand battery could buy,5.0,positive
kid good time kindle feel like best buy best store ever,5.0,positive
excellent choice ereader purchased specifically vacation sun great job easy use overall allowed easily read bright sun backlit display night nice make reading breeze anytime without problem older nook book color chose amazon version could subscribe unlimited monthly reading program comparison brand like nook better easy moving page havent figured quite yet kindle im sure quite easy there also person quickly drop store ask question something person like shown use device know mom might little problem getting screen top pull people likely wont best thing like glad invested backlight,4.0,positive
embarrassing purchased one game amazon app store app crashed right away started dont know amazon tested apps device experience really bad,2.0,negative
resolution contrast screen excellent real selling point easy read natural light including bright sunlight battery life charged since got week ago,4.0,positive
love convenience able turn light appliance connected smart switch voice command also convenient music streaming news weather report,5.0,positive
nice upgrade original amazon tv firethe voice command feature flawlessa great purchase,5.0,positive
meanbatteries work,3.0,neutral
battery leak easily found hard insert toy required aaa problem switched brand name battery,1.0,negative
got one older daughter love lot,5.0,positive
reading fast unit highly disappointed roku leaf amazon fire tv dust take forever load freeze several time used,3.0,neutral
got daughter absolutely love parental control,5.0,positive
bought tablet year grand daughter system come set kid friendly game allows put tablet kid mode keep safe zone also installed abc mouse another hit program,4.0,positive
love easy read nice size screen kid watch movie,5.0,positive
changed print size huge would appreciate larger print size reading book,4.0,positive
seems working well duracell one purchase costco comparable value didnt go store,4.0,positive
battery bad device last short time,1.0,negative
worry grade work well look good say,5.0,positive
dont last long good quality price,4.0,positive
year old dropped standing position foot ground busted use bb warranty replace day purchase fall tablet shouldve able handle designed kid im happy apps definitely thrilled lack protection designed kid,2.0,negative
mainly use playing music going connect apple music found much easier use amazon music amazon offer lower priced plan use amazon music alexa outlet switch connected convenient turning onoff light good speaker playing music think alexa comparable siri,4.0,positive
stay connected wifi connected device within ft router need kitchen dont want walk foot use wifi device work everywhere house well yard garden dont get sick looking useless,1.0,negative
item doa reached amazon happens often stand gratification thrown straight window returned item bb purchased appel tv much better product work say fire tv give item star instead amazon quick answer phone troubleshoot,2.0,negative
tablet good browse web check email watch youtube video screen small still bigger smartphoneits bit slow good bang buckbig drawback access google play support chromecast want cast tv,3.0,neutral
aa battery work seem die bit faster speedlight duracells maybe use since pack,4.0,positive
say enjoyed many droid box think easier use gotten locked time unplug hard restart say price good product,4.0,positive
ordered battery along wall mounted mirror upon inserting battery light work thinking something wrong mirror decided go target buy battery replacing battery light work would return return date past due thanks time,1.0,negative
old kindle charger work fine wasnt clear bought new kindle white want charge send back forget ill keep extra charger,1.0,negative
looked math capacity strength longevity different battery lot similar including make sense price wisei tried hundred rechargeable battery get recharged couple time disappear certain point waste money,4.0,positive
purchased two kid since wanted tablet christmas liked could use like total control used viewed lot faster older kindle pretty durable well,3.0,neutral
lasted ten minute flashlight changed battery next two lasted minute dont buy junk,1.0,negative
daughter asked paperwhite christmas delighted opened used hour every day view really proper gift,5.0,positive
cheap need constantly make sure plugged slightly small saved buck amazon quality,1.0,negative
looking lowpriced tablet access kindle magazine apps specifically economist didnt realize adversion kindle removing ad would possible wo fee worse there limitation around apps everything located google play store apps like economist available sooooo returned,2.0,negative
hard beat quality price cost great kid,4.0,positive
kindle black good fit time read night bed husband sleeping model doesnt back light im unable read night without turning light waking husbandso returned went kindle fire,3.0,neutral
sadly netflix support resulting last tablet purchase amazon,2.0,negative
untrustworthydies really quick doesnt keep delivery date,1.0,negative
kindle th one house purchase youngest son asd high functioning still meltdown thing arenäôt done correctly help u travel made one big meltdown kindle certainly helped,4.0,positive
seem last good high dollar one,4.0,positive
battery long life,2.0,negative
limited activity son surf web thing like,3.0,neutral
sound par high end portable speaker however really tip iceberg amazon prime access music asking also work phillips hue turn light voice,5.0,positive
fire solve issue keeping book collect dust book fire everywhere go amazing loved,5.0,positive
ive two tablet one gave away due shoddy performance finally decided try amazon fire recommended friend far love,5.0,positive
far best thing could bought,5.0,positive
netflix app run great buffering good hd quality amazon app movie issue overall like fire tv amazon ran like netflix would star,3.0,neutral
neat gadget thing like track item shopping list setting timer great would expected better telling thing like tv show x sound cardinal bird make met didnt understand question alexa intuitive learn grow go along also ask thing way alexa understand example can not say alexa turn light kitchen compute say alexa shut light ask start writing correct way ask thing would remember need learn adapt happening far,3.0,neutral
layout tablet good internet terrible,3.0,neutral
neat gadget thought loved echo dot n much like u video chat people also kid love,5.0,positive
first got great stopped charging wouldnt turn back,1.0,negative
nan,2.0,negative
definitely ipad high end tablet nevertheless discounted price paid less well worth getting wanted something bigger waiting next ipad air come fit bill paying little getting basic low end tablet geared towards amazon medium consumption ad decently even screen resolution less hd sale come back would hesitate recommend,3.0,neutral
excellent tablet easy use fast beautiful,4.0,positive
handy size work well would google play store available,4.0,positive
good hdx well also much slower hdx screen pixelated anticipated would probably spend next time get quicker unit,3.0,neutral
disappointed product used led candle wiggle around get work time also purchase acdelco battery amazon would allow purchase one box im glad acdelco battery worked great would purchase amazonbasics battery,2.0,negative
work great year old grandson love,1.0,negative
bought black friday deala decent good tablet price buck,4.0,positive
thing ask doesnt know answer,3.0,neutral
weird didnt last long,3.0,neutral
got husband like setup easy,4.0,positive
great tablet kid love simple use great price,5.0,positive
sometimes screen responsive would like need daughter love,4.0,positive
ipad thought would buy black friday play around program give mother enjoy,3.0,neutral
highly recommended someone love reading easy set lot book downloadi ipad beat reading experience hand downone downside new kindle paperwhite lower battery life compared previous generation hence star,4.0,positive
work great come little shrink wrapped four pack,5.0,positive
gift employee absolutely love,4.0,positive
fire box good streaming device would recommend product,4.0,positive
easy use easy read light battery last long time,4.0,positive
mouse still work battery otherwise dont think use anything else ok battery,4.0,positive
total hour half screen went completely dark would turn battery fineit quit working together,1.0,negative
kid love watch program want also miss program also watch ever time best purchase brought,4.0,positive
great little kid play occupy cook,5.0,positive
navigation need work pointer feature suck definitely pointandclick systemes explore web browsing antiquated need replacedvoice alexa feature work inside apps control app careful say needless purchase madeno disable option voice featurestill one cheapest way run kodi program direct telly hdmi thoone still load app plex server na playback via streaming though extremely difficult navigate plex download page e exploreits faster old version bluetooth instead quadcore instead dualcore processor doesnt seem get hot hour play like old version didbut amazon ever blocked third party apps like kodi plex would never buy amazon product thonot amazon prime member never pay programming get free,3.0,neutral
purchased tablet class required online textbook tablet made easy access everything need love lightweight im able access internet well,5.0,positive
great addition alexa collection portable batter last expected,5.0,positive
bought mom gift really disappointed device run full android can not get third party apps even though sell tablet device good use amazon shopping book game otherwise cant download anything even weather app worth money limited returned device got lenovo tab much happier,1.0,negative
bought replace broken kindle reader good battery life size much heavier old paper white easy organize find document book wireless work smooth far,3.0,neutral
recieve aa recieved cbatteries,1.0,negative
perfection usual amazon,5.0,positive
tablet little cpu power really made work amazon prime crowd looking,1.0,negative
battery die quickly spend extra better battery,1.0,negative
purchased two paperwhites gave one daughter far good,4.0,positive
hard argue amazon fire tv stick bought replace previous one p would say wont go wrong either bought firetv direct internet plug capability figured would concern wifi,5.0,positive
came touch light used day light already dimmed battery need replacing soon,2.0,negative
good access multiple venue cheap easy use,4.0,positive
device would best possible tablet money google play however amazon chose block access took well made tablet beautiful screen great performance amazing value waste money last amazon branded productif use lot apps want specific apps shop another device,1.0,negative
bought wife third amazon fire tablet mostly u reading really like speed additional feature one shes happy,4.0,positive
absolutely worst battery ive ever used amazon ashamed sell,1.0,negative
hoping battery would last hour since didnt dont think price listed,2.0,negative
ok,3.0,neutral
nice parental control app grouping bug apps hurt experience parent still need look child shoulder ensure gamesapps appropriate battery life absolutely terrible,3.0,neutral
die super quickly saying im sure item sucked life faster still died used nearly whole pack little led closet light couple month minute time,2.0,negative
bit involved getting set thereafter function simply talking alexia plug adapter turn light tv useful certainly worth,2.0,negative
wife wanted ipad bought cheaper good reading playing game u io product compatible hardly ever u next time ill get want waste money,2.0,negative
stranger amazon tablet must budget buyer cant go wrong,4.0,positive
technology keep getting better better,4.0,positive
love kindle paperwhite easily carried purse,4.0,positive
good alittle one game movie picture clear expensive,3.0,neutral
updated credit car six week ago wont bother future,1.0,negative
lot claim description lot good review dont know went wrong appears battery really stinkin tv remote pair battery lasted week namebrand battery replaced lasted several monthsin led flashlight pair battery lasted exactly u light got dim u battery totally dead im talking like less minute cumulative use previous battery lasted dozen u probably least hour ontimei dont know got bad batch big bad batch tricked wrong expectation either way back namebrand battery,1.0,negative
clarity screen backlit text make improvement old tablet read low light enjoy color well enjoying new kindle present challenge set would recommend getting help store get started,5.0,positive
purchased eco plus two adult child really like eco plus lot fun still learning,5.0,positive
run power quickly,2.0,negative
five year old worked fine bit slow loading game year old day want immediately like kid friendly free book game worked well downloaded disney movie netflix may get one year old suster live,3.0,neutral
hard give review cause stuck amazon home screen might good product dont know,1.0,negative
bought tablet connect hdtv able get connect called amazon customer care informed model doesnt connect tv previous model th generation purchase amazon fire stick newer model lesswho know want watch movie tablet great buy didnt work purpose,3.0,neutral
theyre battery work average amount time nothing much else say,4.0,positive
bought daughter yr old enjoys reading,5.0,positive
small issue setting start kid took care,4.0,positive
ive bought replacement charging wire one micro mail end insert fire charge one two u wire become loose fall definitely wont stay put charge anyone else problem whats solution would recommend,1.0,negative
charger produced amazon backed excellent quality control manufacturing process,4.0,positive
purchased amazon fire tablet one year wanted tablet sturdy would last purchased grandchild,5.0,positive
bought grandson worked well,5.0,positive
much say wonderful reader probably best yet bought gift year,5.0,positive
love product kid use everyday watch movie serial,5.0,positive
bought yr old grandson great easy use gb love amazon fire price affordable,4.0,positive
charge hold bit,4.0,positive
cheap battery,1.0,negative
battery literally last minute inside device put researched product told way spend recharger battery personally buy battery spend spent whole buy whole product recharge worst amazon product ever wasted money,1.0,negative
nice convenient wish came written direction could brighten screen,4.0,positive
ok thank,5.0,positive
price tablet bad found couple thing bit annoying every time turn device ad appear lock screen also picture gallery take several minute load wait annoying,4.0,positive
love size size book thing dont like lock screen ad,4.0,positive
refrigerator absolutely terrific feature well thought work well mom healthy eating plenty space kid drawer snack beverage attractive,5.0,positive
last model kindle hdx terrible purchased model kindle last model great last year replaced time problem slot sd card defective gave bought newest model shuts completely try plug external speaker sometimes shuts reason going back first year going last year kindles unless make quality phooey,1.0,negative
nice cheap battery lot price buy like year lol,5.0,positive
great price easy set already read book new fire graphic quality pretty good,4.0,positive
battery dont work well bluetooth mouse wouldnt stay even put fresh amazon battery bought new mouse wouldnt work new battery used duracell mouse finesame thing happened roku remote,1.0,negative
right size throw purse light weighteasy set enter wifi password amazon login info wooo display bright dead pixel mine responsive touch sensitivity goodthe fire good design slim sizegood product money,4.0,positive
use tablet ereader listen prime music time great thisstill leaning feature,4.0,positive
old guy trouble trying get unit running decided really return past return date back box waiting find time try one time put ebay,1.0,negative
excellent resolution speed love easy usability new fire,4.0,positive
nd time ordered amazon battery find half charge,2.0,negative
lot checking around found best value,4.0,positive
horrendous product thought amazon would good wrong still chinese firstlasts nothing week computer mouse disastrous disappointment first time let amazon pity guess careful less gullible,1.0,negative
everything smart phone larger screen easier browsing input,3.0,neutral
tablet easy use great new user,4.0,positive
practical economical ok use fast good everyday use,4.0,positive
bought access amazon programming im liking better apple tv dont newest apple tv cant comment product one fast couple key button remote make navigating easier apple also love k content streaming perfectly,5.0,positive
worst battery ever duracells wireless alarm keypad died year thought would try amazon battery battery last week die replace spend extra money buy duracells money long run,1.0,negative
ok havent arrive doa really dont seem work long xbox one controller last half time set duracells would dont think theyre terrible doubt ill buy frequently catch duracells newegg per yes bit amazon basic per battery youll get lot usage pair,3.0,neutral
im techie day trying hook gave dont know echo plus carrier att uverse causing issue would connect back store went even checking blog internet assistancenone worked,3.0,neutral
used kindle fire love light read dark hard navigate gift would never purchase,1.0,negative
good tab price big issue break,3.0,neutral
responds well understands one great sound well unlike dot,5.0,positive
hold basically minute steady usage charge dy used microphone died within minute range fully chargedit also seems older get longer take charge faster die reliable unfortunately,2.0,negative
good tablet price drawback limited apps fire compared android tablet,4.0,positive
setting amazon show little trickybut managed navigate itäôs cool add compatible equipment,4.0,positive
bought mom scared even use laptop thought looked user friendly since know year old nephew use ipad,5.0,positive
bought amazon fire tablet daughter love good screen resolution increase memory inserting micro sd card,5.0,positive
context replacement old nexus bought black fridaycyber monday saleprosliterally decent android tablet pricegood battery lifeconsno access google play appsservices youtube gmail etc via browserfirst one purchased defective speaker qc might variablethoughtsamazons insistence using app storeandroid version annoying subsequent lack core google apps however price little competition among android tablet,3.0,neutral
bought reader present mom love able take book smaller form love look like paper page easy order new book,4.0,positive
bought product month back slow cant open app second o different others cant get normal apps easily one thing say slow slow slow performance dont know replace need help best buy peoplei dont know whether got defective piece actual performance,1.0,negative
bought father would trouble using computer he picking quickly keep entertained good reliable device,5.0,positive
edition backlighting big deal like reading bed indoors without needing use external lighting get version get one newer edition read well lit area go one kindle fantastic love white lightweight long lasting kindle option use background light,2.0,negative
wrong size battery,1.0,negative
purchased son decent tablet optimum,4.0,positive
brought christmas present someone read lot easy use user friendly,4.0,positive
ok aaa need,3.0,neutral
got christmas gift doesnt stand nothing secure make stand get stand maybe watch video dont touch fall easily certainly dont stand actually use fire hd cover cant fall right feel really badly special person bought waste money already bought cover lot cheaper shock protection one wont stand end sits securely tilt make useful cheaper one bought amazon also magnetic closer cover stay closed one sure tell person bought dont like one ill feel bad telling theyll feel bad hearing bad around,1.0,negative
echo good ended getting echo show well first device enjoyed using various reason one could ask alexa watch youtube video wanted watch one day asked alexa play video responded sayinggoogle supported echo show youtube come back skill echo show probably isnt worth extra money id say stick echo amazon music spotify echo dot use echo part smart home,3.0,neutral
really isnt good tablet measure bang buck bought kill time couple long flight didnt wear battery phone definitely wouldnt recommend using reading screen resolution really average tough look used read comic play game screen bigger phone got wanted,2.0,negative
took way long receive corroded,1.0,negative
worked great issue price made purchase affordable family able use desired item needed battery great product price,5.0,positive
get weather forecast first thing morning review list check appointment day morning coffee great way start day,5.0,positive
bought upgrade kindle fire bought wife year ago say easier read love smaller size,5.0,positive
nice looking cover keep fire clean particularly safe fall black one professional looking padding whatsoever wake fire opened shut closed never important problem case hold cover order keep camera clear make clicking shutter little awkward id like see opening front cover match opening back folded half still able view subject,3.0,neutral
bought son play enjoys lot,4.0,positive
one perfect tab kid bought niece loved,3.0,neutral
dont seem last long duracell,2.0,negative
first tablet kindle curious updated version disappointed,1.0,negative
integration home automation transparent hope device offered wayskill connect system could running amazongoogleapplemicrosoft themamazon per researched best time purchase really make simple delivers promise,4.0,positive
pretty slow price guess work ok,3.0,neutral
thing go along crowd end much underutilized im sure capable making shopping list flash briefing dont time learn work fine,3.0,neutral
durable could little suited young kid,4.0,positive
led run thru fast man im lazy amazon delivers keep buying dont time sheet one harbour freight free purchase light seemed last hour noticed dim thats good guess still bright new never used brightusually replace battery every week work bike car never led go get unusable dim job fresh change,4.0,positive
