reviews.text,reviews.rating
noe littlebit unusual press hard change page starting get used,3.0
decent battery seem last long electronics,3.0
work exactly expected bought effort convert old flatscreen smart capability smart tv definitely got job done,5.0
fun gadget play song various entertainment still learning,4.0
read game prior buying far game half decent much thing,3.0
basically almost content roku would provide much clunkier menu get better amazon menu layout via amazon app roku also hoping pick extra football via fox sport network f happening add channel free order watch content still need cable satellite subscription defeat whole purpose adding app u cord cutter way signing back cable satellite wish f would get program offer separate subscription hbo showtime thumb,1.0
love alexa play game like jeopardy would rather family edition kid love alexa tell joke,4.0
others streaming device seem lacking storage memory,5.0
ordered amazon w usb official oem charger power adapter fire tablet kindle ereaders however received nothing like pictured received charger cord state lg electronics verizon accessory certain item,2.0
dont last long,2.0
love best e reader owned far ive owned quite,5.0
great idea need improvementlots question askedits reply dont cant answer,3.0
really disappointed kindlei many kindles wanted somwthing thoughtnwould simple kindle doesnt show book cloudit doesnt matter arent device still show cloudi go amazon account transfer book want device,1.0
bought device stream netflix amazon prime play downloaded content purpose sufficient wouldnt use fire tablet productivity device seriously underpowered fire tablet bogged pretty quickly attempted multitask bottomline ipad replacement particularly like variety thing tablet sale good deal purpose,3.0
lot fun music asking question great tool,5.0
got home able set minute,4.0
price item good compared cage however item came tilted dog tilted dog crate tilt gate noticeable drastic price ill live,3.0
advertised latest version ignorance led price thought paperwite like white paper book bought wife returned mine refused shipment ordered paperwhite backlight higher resolution worth kindler,3.0
want watch movie shop job enough memory much else price great kid,3.0
echo good answering question good playing music telling weather im sure get better annoyance toddler house tell cute joke say im sorry cant find answer often sound quite good model work well spotify,3.0
disappointed battery work work minute waste money,1.0
tv clicker month,3.0
ad arent annoying think would pretty lightweight good battery life good casual use,4.0
first android tablet work pretty good though dont expect work like ipad ad extremely annoying thats best buy fault,4.0
bought accidentally meant get inch screen,2.0
got tablet kid couldnt beat price tablet reader kid watch movie play game,4.0
ok,5.0
difficult understand instruction still working,3.0
purchase amazon fire tv one tv smart e happy used watch hulu amazon tv fast havent problem,5.0
wife love using unit since received gift,5.0
bought kindle fire gb year old son june month charging port came loose device charge best buy aware issue nothing amazon warranty product day said charging port often break child using option fix device offer small discount buy new one amazon stand behind product aware defect continue sell,1.0
want inexpensive device read kindle book email,3.0
decent quality tablet money one complaint speaker weak cup hand around speaker side get good feedback silk browser seems issue search engine switching search engine fix thoughi got power go house served let watch netflix bluetooth keyboard seems adequate messaging writing notesvideo quality good enough though super picky im considering gifting dad one year commented quality looked good another complaint would amazon app store limited clash royale mobile game actually enjoy im sure there way around im really interested digging around part good solid low end tablet,3.0
difficult turn sticky enough kept falling complete waste moneywhen could get sticking lighting effect nice however quality product zero,1.0
got year old black friday typically household apple couldnt justify buying another ipad work great many favorite apps ipad still hit,4.0
didnt depth research particular tablet price speed good wanted con able clear home screen apps relocate see personal home screen picture,3.0
battery last month dish network remote control duracells last yeari longer purchase amazon battery disappointed,1.0
totally worth money apps use daily basis,5.0
tablet loved much gave one gift battery life long,5.0
one use regular used battery powered item dead brand use item several time replace battery,1.0
spend money buy name brand seriously work waste money,1.0
battery wouldnt hold charge able get teplaced,4.0
work dont last long cant complain though wanted battery received battery yay,4.0
good tablet purchase first time tablet user,3.0
satisfied product one kid price point amazing pretty big beef best buy store customer service point ordered different color help keep kid kindles separated color ordered year old came sent gig rather gig instead giving color year old ordered customer service agent behind counter absolutely insisted couldnt canceled order making take one color already least temporarily disappointing year old son get color wanted dissatisfied best buy customer service insadent make question future purchase best buy,4.0
sorry amazon guy great selling product reasonable price good hassle return happy customer purchased box aaa aa cell battery used aaa remote apparent problem far used cell yet aa battery worst battery ever used dont last long flash light son four battery actually blew inside unit heard loud pop unit playing five minute wanted know happened looked inside unit green negative containment ringsealer blown acid inside unit throw rest battery trash worried little one getting acid amazon good name bad battery,1.0
saw review battery news rated among best im glad get amazon bulk great price,5.0
good one configure everything ina easy way thanks,4.0
two google home device seem lacking smart home control find additional device necessary use echo smarthome configuration although currently somewhat limited expect google home surpass echo addon smarthome device ill wait rather buy device twice,2.0
totally satisfied,5.0
loved size lightness product stay charged long time,5.0
half battery didnt even last three month storage disappointment,2.0
battery perform good cheapest one market,1.0
two battery already dead rest work fine,3.0
got tab year old daughter shes always phone tablet got function apps like u hard use get job done right price drop rough tablet seems sturdy enough expensive going break bank damage,4.0
battery popped open inside motion detector light making mess ruining detector never buy brand,1.0
sweet tablet yo good work grandma super easy,4.0
use three battery work light probably time per one dy much quickly others put meter v left third around v frustrating think theyre still good value,3.0
got unbelievable deal best part library book fingertip easy simple set great im traveling,5.0
make phone way big cant fit pocket,1.0
tablet good mostly use read go however tablet work amazon approved apps long dont mind good choice get sale better price,3.0
ive used exclusively two xbox one controller tried battery lasted hour play time running seemed quick dont anything compare right price order remember order battery need,4.0
terrible,1.0
cheap battery win work last reasonable amount time cant compare brand dont track battery closely last long enough would buy,5.0
good battery,4.0
slow returning mine something different suggestion,1.0
love table yo give sense independence want sense calmness knowing control get long spend screen time,4.0
easy use quick setup fantastic screen color vibrant,5.0
pro get lot battery cheap pricecons battery last long alli dont mind changing battery something use constantly since got hundred back get little annoying week bought specifically xbox one controller used daily hour two average,3.0
real nice tablet child got sale bestbuy,4.0
give great answer connection great exchanging google home,2.0
easy read light battery seems last forever size weight easy carry along everywhere,5.0
didnt work return christmas buy something else made wonderful christmas mourning,1.0
done research buying tap would rather upgraded version voice activated also thought would like siri ask anything alexas answer question dont understand question bluetooth speaker work fine,2.0
far ive fire tablet month first tablet lack googlke play store mean amazon apps pretty limited found avway around front camera grainy acceptance using skype battery doesnt last long seems take hour recharge first tablet suppose acceptable flaw feel robust hand though plastic casing reminds material hold tight,4.0
work great nice upgrade fire stick ethernet port heavily focused amazon content duh prime account must,4.0
edition backlighting big deal like reading bed indoors without needing use external lighting get version get one newer edition read well lit area go one kindle fantastic love white lightweight long lasting kindle option use background light,2.0
battery worst ive ever bought corroded inside toy remote noise cancelling range headphone expensive gun scope ive tried aa aaa even gave multiple chance battery electronic device die within hr needless say switched back standard duracell battery care life mess corrosion buy battery,1.0
responds better husband voice mine helpful easy use,4.0
received christmas gift met expectation,5.0
easy use lot handy feature downside ad apparently cant shut cant upload play downloaded youtube video unless online,3.0
state battery last use tv remote ended buying energizer day later last changed battery twice day got mailthe triple better,1.0
nice many specific line remember get talk also family gmail calendar connect icloud iphones know family calendar need update able answer question specific way must say thing skill,3.0
fit criterion low cost tablet work well,4.0
battery work normal thing tried use dog collar supposed help barking weak changed three u annoying,2.0
used replace battery digital safe week two later needed access something safe wouldnt open sure entering right code safe beeped didnt unlock didnt suspect battery right away still almost new eventually plugged different brand thats took get safe work properly big relief interesting find aa battery arent created equal,1.0
dont last long higher end rechargeable regular batts would say half time,2.0
would recommend anyone quite compact easy use good age,3.0
tablet could much better apps actually worked decently built amazon piece prime member great work flawlessly enough overcome terrible app behavior countless freeze need take lesson two apple,2.0
great soundeasy connectproblem voice activatedso u push wake button anytime u need use itthat mean b close hand,3.0
bought fire older friend year old run jw library app never given problem used tablet gave friend seemed reliable plenty fast nice simple tablet best price good intro tablet,5.0
disappointed handheld microsoft wireless game controller last week duracellenergizers last week amazon need select higher quality rebranded battery sell amazon prime amazon could dominate market simply selling close price longer lasting battery duracell dont put emergency device like smoke detector emergency flashlight radio,1.0
love new echo sync android echo add item calendar set alarm even tell joke keep getting better better,5.0
connected wifi would connect daughter wifi visited loading time program really slow oh well expect,2.0
unable get google doc one even though sale person said would able granddaughter needed school allow get google doc,2.0
great reading book doodling work,3.0
bad battery long lasting,1.0
get sale incredible value tablet perfect anyone want screen without paying premium price build quality fine screen isnt best definitely usable,4.0
bought year old son christmas like amazon fire using frequentlyprimarily playing game husband one several year u every day,4.0
bought year old wasnt expecting top line performance especially buck pro good clarity easy usecheapexpandable storage sd cardconsslow loadscheap camera expectedno mic voice recognition would great kid google search,3.0
battery junk new power replaced good ware quickly dont like make negative report bad,1.0
bought christmas month battery began fail hold charge first month good many review laud tablet day warranty disappointing amazon different amazon device fail within warranty period exchange immediate easy brand new device warranty issue lengthid recommend want cheap tablet throw bag otherwise average,3.0
good price ugly design,1.0
purchased tablet extremely cheap im impressed anything slow user friendly advertising annoying also almost totally useless support apps use regular basis keep access amazon account,2.0
buy lot battery hoping way get u theseas long dollar store battery item week others buy,1.0
didnt know much device buying fun commercial figured internet connected could anything asked quickly learned case arent able plug expect know everything internet seemed didnt know know basic question u skill like phone aps enable skill order use want use skill much like ap remember specific skill include ask seems like home automation well basic function long way go know everything internet,3.0
great battery great price finally dont travel ikea affordable battery,5.0
great product u everyday super light easy navigate,5.0
excellent product price exeptionalthe unit stock grate educational purpose,5.0
cant beat price,5.0
alot movie video store gb really great feature,5.0
looking kindle whitepaper saw online deal ordered line picked store got home couldnt adjust brightness lengthy time online customer service called customer service minuet speaking female elmer fud doesnt speak english well figured would return although look identical model adjust brightness would good information bought,1.0
easy setup battery last long needed basic higher end tablet reasonably priced,4.0
great speaker really dont need feature need good sound dont really use anything besides,3.0
great speed function small price needed,5.0
echo easy set speaker good google home nest thermostat inseon hub seem working okay echo star used function yet,3.0
use hundred aaa annually despite graphic ad poorest performing least longevity bought still another likely go thru quickly,1.0
poor choice product work one week froze unable get go factory reset would recommend product time call amazon back ask money refund going line see common problem problem solve,1.0
got firetv friend recommended u stick cable bill constantly going best optio onetime purchase fee download app called kodi watch live tv previously played show movie think even sport granted sometimes quality isnt best free paying almost cable internet pay internet nothing stay show sport best purchase made long time,5.0
good price sale buy amount manards less sale,4.0
wasnt thought would good investment,2.0
nice able tell alexa need wherever house echo take care sport uodates news music etc voice convenient,4.0
box easy setup configure user friendly integrates home nicely,5.0
four year tech savvy better adultsgreat shaping real world experience,4.0
love new kindle size perfect fit right purse easy navigate love touch screen able read outside without glare flaw backlit order read dark need book light dont mind much wish kindle would come case kindle built book light like first generation kindle,4.0
waited get keyboard little bit research think made difference time took research amazon pushed update fixed bluetooth problem keyboard lot onestar review people bought keyboard problem hadnt solved yetthe keyboard key youd expect alphanumeric key left right key extra like key volume home key actually take carousel screen however curious omission page page delete key there backspace key thats thingthe key wellspaced problem touch typing keyboard certainly spacious fullsized keyboard size keyboard smallish laptopthe one thing could add might make keyboard close perfect way carry perfect portable size something would want store backpack probably keep box came travel purpose,4.0
overall think kindle fire hd great product complaint far,4.0
easy hook keep family area grandkids ask alexa question play song fun everyone,4.0
looking forward getting one person got swore dint want tablet need one love even reading thought would never give paperback,5.0
great alternative cable easy use set,4.0
two guard stop bottom way high dig wrist painful minuteseverything else stand excellent laptop itll work use extended keyboardimpossible type directly laptop bc poor design guard need brought size would perfect,2.0
work tendency freeze get slow probably wouldnt purchase,3.0
wife wanted child still enjoy feeling ipad got amazon fire kid edition awesome love way set limit tablet theyre glued day long kid mode extremely beneficial,5.0
really like amazon fire tablet would recommend,4.0
touch response good kid refused play game thisreturned product thanks bestbuy full refund,2.0
nothing prblems wasnt satisfied never buy agian,1.0
dont feel like last long name brand battery,3.0
work well part one pack defective battery rest far fine last decently long,4.0
nice upgrade original amazon tv firethe voice command feature flawlessa great purchase,5.0
like reader nice small dont like secure wifi system home let set go daughter house set bit alarming secure since way put item putting information compromised make secure easy put protection reason didnt make star product,3.0
product work work slow compared apple android phonestablets like stated summary pay get major issue thus far,3.0
bought laser tag gun purchased son birthday requires literally played night morning still going strong ive bought much expensive brand name battery havent lasted long price im pleased purchase,5.0
nice price drop admittedly device make prime membership much sticky love accessing prime music,4.0
