reviews.text,reviews.rating,sentiment
last near long brand batteries,1.0,negative
version marketed children like dumbed cheap version better firehd hdx screen good battery life bad mirroring tv slooowww youve never owned another kind kindle probably accepting watered version know real kindle like may want pass one another version along soon since cant get much worse one youll probably get better one got mine black friday little total shopping discounts im still sending back thats disappointed,1.0,negative
batteries die almost fast harbor freight free batteries expected top quality got bottom quality,1.0,negative
first time buy first tablet came showed needed reeboot shut self,1.0,negative
tore within one week baby blue shear green,1.0,negative
bought black friday one worst buys life screen saver cant changed kids forced look ads every time want use tablet apps ok honest could dealt ads final deal breaker sd card bought kids sd cards games tablet doesnt read something says sd card inserted wont download apps sd card,1.0,negative
slow advertisement plagued save spend money something better,1.0,negative
got two batteries fire tv stick loaded everything good days fire tv stick stopped responding trouble shooted fix called customer service trouble shoot started saying change batteries response seriously want change batteries freaking tv stick could possibly wrong batteries brand new came device changing batteries saying new batteries fix problem amazon batteries died days happen,1.0,negative
shame amazon putting trusted name garbage nothing put batteries work properly whether aa aaa c blood pressure cup wont fill air going error motion lights flicker put remotes work goes away name brand batteries,1.0,negative
last never leave negative reviews generally satisfied logged back awful,1.0,negative
product real bad amazon although dont expect much cheap tablet however even expectations way slow respond anything everything year old goes ipad give thiswont recommend anyone,1.0,negative
soon place new battery card alarm ut says bar charged,1.0,negative
ordered thinking rechargeable recognize error part complaint received used surprised died quickly upon attempting recharge figured arent rechargeable big duh partnow im seriously surprised im getting hours use like quarter use typical battery offer horribly disappointed go back name brand batteries sure,1.0,negative
product wouldnt turn charge store couldnt locate another one,1.0,negative
put two batteries wireless mouse less two hours use burned mouse quit working went check batteries literally burned fingers trying get throw rest away never buy againi know ill never get money back ill write lesson learned,1.0,negative
old kindle charger works fine wasnt clear bought new kindle white want charge send back forget ill keep extra charger,1.0,negative
difficult turn sticky enough kept falling complete waste moneywhen could get sticking lighting effect nice however quality product zero,1.0,negative
say soon opened tablet never ever turned upset ive followed troubleshooting steps users online still never worked fully charged tablet tried still never turned hard time best buy returning item spend hour explained situation never believed item came defective storming decided accept return gave credit iti would never buy amazon product ever piece junk bad quality productthanks,1.0,negative
worst batteries ever bought less one hour installing remote popup tv said remote battery low left got four hours use wouldnt turn receiver aas bought seem fine sure aaas didnt last put new ones remote well see second set four better first low battery warning hours use surfing dish tv program guide showed volts installation checked first low battery warning came volts guess got old bad batch nothing duracell would recommend batteries,1.0,negative
review valid due device work would put upgraded echo instead tap,1.0,negative
purchased one christmas gift best buy lineit worked fine first monthdid use weeks went turn ondid get nothing lefthand bottom corner says fastbooth mode locked get nothing elsedid buy product protection guess complete loss,1.0,negative
excited amazon echo however getting home setting finding limiting excitement went away fast echo couldnt answer majority questions would asked question instead answering would play country music never asked forunless smart home features like smart thermostat smart lights etc useless aside speaker money isnt good speakeri however try week finding worth googling questions easier answer even asking movies near etc pain said maybe got defective unit wasnt case echo limited doi would say save money isnt worth yet,1.0,negative
purchase batteries leaked machine using kids room project stars ceiling picked projector leaked battery fluid burned arms legs could gotten children leaking fluid also ruined projectorthe batteries new stored room temp used room temp recharged exposed fluid abnormal conditions disposing appropriate mannereta happy amazons resolution despite bad experience thanks amazon ill order batteries brand,1.0,negative
waited couple months review giving amazon time make product equal sony dash nearly decade ago isnt screen provides nothing value cant turn amazon tips near zero customization cant even move clock side screen something sony dash nearly years ago pandora prime music alarm seriously biggest fail run away half baked amazon disaster,1.0,negative
updated credit car six weeks ago wont bother future,1.0,negative
everything read bit confusing echo control low behold alexa service built echo cannot control amazon fire tv sole reason bought well also hopes hbo would surround sound course didnt theyre fault reason returned immediately since neither worked made device completely redundant chromecast,1.0,negative
worst batteries ever use remote switch every couple weeks buy,1.0,negative
never knows answers question song want always says getting connection sucks,1.0,negative
poor battery life even last minutes device ive top notch energizer batteries lasted weeks monthsthese compare top line batteries maybe good tv remote thats,1.0,negative
feel like completely lied device despite reviews claiming hands free mode exist settings downloaded app first time today hands free option enable settings pandora said available us amazon tap thanks ruining birthday amazon,1.0,negative
exactly like usb power charger making unnecessary basic charger used ipod works charge kindle fire within hours,1.0,negative
daughter loves size portability product ipad died uses mac book school great choice read books,1.0,negative
reason tablet cannot produce clear higher resolution get cheap good feels cheap omg manny pop adds comeon amazon,1.0,negative
bought batteries charge insulin pump life critical device started using found pump worked terribly testing variables popped amazon battery replaced duracell everything back normal wont use,1.0,negative
wrong item,1.0,negative
things last week roku remote reordering,1.0,negative
dont option password ask buying apps authorized allow donenot many free good apps like apple,1.0,negative
four batch leaked caused mess charger device threw remaining avoid future problems addition batteries didnt hold charge presume must received bad batch based positive reviews,1.0,negative
wish didnt buy amazon lot things well batteries much work moment lay extra name brand,1.0,negative
tablet little cpu power really made work amazon prime crowd looking,1.0,negative
gave fair chance fact simply last long duracells ive gone half pack purchased easily replacing batteries twice fast devices use wont repurchase,1.0,negative
get pay last long better buy duracell,1.0,negative
purchased father law frustrating experience user friendly friendly stick name brand tablet apple samsung etc avoid device costs,1.0,negative
low quality batteries die using times better go big brand name,1.0,negative
