reviews.text,reviews.rating,sentiment
do not last near as long as other off brand batteries,1.0,negative
this   version should have been marketed to children only its like a very dumbed down cheap version of the better firehd and hdx screen is not as good battery life is bad no mirroring to tv and its slooowww as can be if youve never owned another kind of kindle you will probably be accepting of this watered down version for those that know what a real kindle should be like you may want to pass on this one another version should be along soon and since they cant get much worse than this one youll probably get a better one i got mine on black friday for a little over  total with shopping discounts and im still sending it back thats how disappointed i am with it,1.0,negative
these batteries die almost as fast as harbor freight free batteries i expected top quality and got bottom quality,1.0,negative
the first time i buy my first tablet it came on but it only showed that it needed to reeboot it then shut off by its self,1.0,negative
tore within one week and is baby blue and very shear not green,1.0,negative
i bought  of these on black friday and these have to be one of the worst buys of my life the screen saver cant be changed so my kids are forced to look at ads every time they want to use their tablet apps are ok and to be honest i could have dealt with the ads but the final deal breaker for me is the sd card i bought my kids sd cards so they can have more than  games and the tablet doesnt read it or something it says sd card inserted but it wont download apps to the sd card,1.0,negative
slow advertisement plagued save and spend money on something better,1.0,negative
i got two of these batteries with my fire tv stick loaded them in and everything was good for  days then the fire tv stick stopped responding i trouble shooted with no fix called customer service and they had me trouble shoot too started by saying can you change the batteries my response  seriously you want me to change the batteries its a freaking tv stick what could possibly be wrong the batteries are brand new and came with the device so i was changing the batteries as i was saying all that only for the new batteries to fix the problem so these amazon batteries died in  days how does that happen,1.0,negative
shame on amazon for putting their trusted name on this garbage nothing i put these batteries work properly whether aa aaa c or d not the blood pressure cup wont fill with air before going into error motion lights that flicker when these are put in remotes that work on and off  which all goes away with name brand batteries,1.0,negative
they do not last at all i never leave negative reviews as i am generally satisfied but logged back in just to do it they are awful,1.0,negative
this product is real bad from amazon although i dont expect much from a cheap tablet however this was even below my expectations its way slow to respond to anything or everything my  year old goes after my ipad when i give him thiswont recommend to anyone,1.0,negative
as soon as i place the new battery in my card alarm ut says  bar charged,1.0,negative
i ordered these thinking they were rechargeable i recognize the error on my part but that is not my complaint here  so when i received them and used them i was not surprised that they died very quickly upon attempting to recharge these i figured out they arent rechargeable once again big duh on my partnow im seriously surprised that im only getting a few hours of use out of them like a quarter of the use that a typical battery should offer horribly disappointed i will go back to the name brand batteries for sure,1.0,negative
this product wouldnt turn on nor charge and then store couldnt locate another one for me,1.0,negative
i put two of these batteries in my wireless mouse and in less than two hours use they had burned up the mouse quit working and i went to check the batteries and they literally burned my fingers trying to get them out i will throw the rest of them away and never buy these againi know ill never get my money back ill just write it off as a lesson learned,1.0,negative
my old kindle charger works fine  that wasnt clear when i bought a new kindle white and now you want to charge me  to send it back forget it ill keep the extra charger,1.0,negative
very very very difficult to turn on and off not sticky enough and kept falling down complete waste of moneywhen i could get them on and they were sticking the lighting effect was very nice however the quality of the product was zero,1.0,negative
all i can say as soon as i opened this tablet it never ever turned on i was so upset as ive followed the troubleshooting steps from other users online and still it never worked i fully charged the tablet and tried again and still it never turned on i had a very hard time at the best buy returning this item had to spend an hour and explained the situation to them they never believed me this item came to be defective after storming out and after a while they have decided to accept the return and gave me credit for iti would never buy an amazon product ever again piece of junk bad quality productthanks,1.0,negative
worst batteries i ever bought less than one hour after installing in remote popup on tv said remote battery low left them in and got about four hours more use before it wouldnt turn on the receiver the aas i bought seem to be fine not sure why the aaas didnt last put  new ones in the remote  well see how these do the second set of four were no better than the first low battery warning after a few hours use surfing dish tv program guide all showed just over  volts before installation checked again when first low battery warning came up down to  volts guess i got an old bad batch nothing but duracell from here on out would not recommend these batteries ,1.0,negative
this review can not be valid due to the device did not work for me i would put it down just upgraded to the echo instead of the tap,1.0,negative
i purchased one as a christmas gift from best buy on lineit worked fine the first monthdid not use it for a few weeks i went to turn it ondid not get nothing the lefthand bottom corner says fastbooth mode it is locked on this and i get nothing elsedid not buy any product protection so i guess it is a complete loss,1.0,negative
i was excited about the amazon echo however after getting it home setting it up and finding out how limiting it is that excitement went away fast the echo couldnt answer the majority of questions or would be asked a question and instead of answering it would play country music which i never asked forunless you have smart home features like a smart thermostat or smart lights etc it is useless aside from being a speaker which for the money it isnt a good speakeri did however try it for a week finding it not worth it or that googling questions was easier to answer even asking it about what movies were near me etc was a pain some said maybe i got a defective unit which wasnt the case the echo is just limited in what it can doi would say save your money this isnt worth it yet,1.0,negative
do not purchase these batteries leaked in a machine i was using in my kids room to project stars on the ceiling when i picked the projector up it leaked battery fluid on me and burned my arms and legs it could have gotten on my children the leaking fluid also ruined the projectorthe batteries were new stored at room temp used at room temp not recharged and not exposed to any fluid or abnormal conditions disposing in the appropriate mannereta i was very happy with amazons resolution despite this bad experience thanks amazon ill order batteries from you again just not your brand,1.0,negative
i waited a couple months to review giving amazon time to make this product equal to the sony dash from nearly a decade ago it isnt the screen provides nothing of value and you cant turn of amazon tips you have near zero customization cant even move the clock to the other side of the screen and something that a sony dash did nearly  years ago pandora or prime music as an alarm seriously this is the biggest fail run away from this half baked amazon disaster,1.0,negative
i updated my credit car d more than six weeks ago i wont bother you in the future,1.0,negative
everything i had read was a bit confusing on how the echo can control it but low and behold it has the alexa service built into it the echo cannot control the amazon fire tv which was the sole reason i bought it well also in hopes that hbo now would have surround sound on it but of course it didnt so theyre both at fault here and the reason why i returned it immediately since neither of the above worked this made the device completely redundant with my chromecast,1.0,negative
worst batteries ever i use them in my remote and have to switch them every couple of weeks do not buy,1.0,negative
never knows answers to question or has the song i want and always says not getting connection it sucks,1.0,negative
very poor battery life did not even last  minutes in my device where ive had top notch energizer batteries that lasted weeks if not monthsthese just do not compare to top of the line batteries maybe good for a tv remote but thats about it,1.0,negative
