reviews.text,reviews.rating,sentiment
you cant beat the price but ive had some of these batteries just die on me after less than a month of use,3.0,neutral
there are some privacy concerns as recently reported in the news and the device is limited without a paid subscription to amazon music,3.0,neutral
good tablet to purchase for a first time tablet user,3.0,neutral
very difficult to operate this if having problems knowing how to get to the instructions should have some computer knowledge prior to purchase,2.0,negative
cant connect to any router hot spot returned and so did the sales clerk with theirs enough said,1.0,negative
not long lasting move on pay more get more,2.0,negative
my grandkids love thur tablets they are a very sturdy educational tool to have they keep them very calm and its less fighting i have blue for the boys and pink for the girls they are absolutely the best and the price was awsome thanks best buy,5.0,positive
best tablet you can buy for the money so hurry and get yours,5.0,positive
my son really likes this tablet he wishes it was a little bit bigger screen size,3.0,neutral
i came here to look at the one and two star reviews and see that people are saying the same thing ive been thinking since trying to use my first shipment of these batteries which are supposed to be better than the previous version that they replaced ive used  of these batteries so far and each one has barely lasted  weeks in my mouse the previous version usually lasted a couple months at least it seems like in this day and age its rare that when things are supposedly improved upon that theyre actually better i can only guess that amazon found a cheaper supplier for their branded batteries i guess its time to cancel my subscribe and save subscription since im not the only one who finds these batteries to be subpar to their predecessors if the rest of the batteries in this pack perform better ill update my review to reflect thatedited to add on  now that the th battery from this pack lasted just over  weeks in my mouse i will be contacting amazon customer service as i mentioned previously the older version of these batteries worked so well that i have to wonder why they changed them i see the larger size amazon batteries still carry the older name,1.0,negative
currently this is the fifth version of the kindle fire that i purchased since they came out purchased this one due to its ability to maximize storage with a sd card unlike the other ones i have it seemed to not run as smooth as my kindle fire hdx once i started adding apps to it which is not a problem for me since i use other tablets for that this was mainly purchased to download shows and movies from amazon prime to watch offline,4.0,positive
my second echo working with a smartthings hub and various automation devices works well and skills are growing in number,4.0,positive
dies fast,2.0,negative
got rid of directv and purchased an amazon fire tv we stream video every night and the picture quality is incredible just make sure that your internet speed is able to keep up if you want to watch in hd nice to be able to cut the cord save some money and not sacrifice picture and sound quality,5.0,positive
kindle is nice for road trips to watch movies good battery life its cool,3.0,neutral
for the price this is a great tablet got it for my wife for christmas and she loves it,5.0,positive
its  no reason this tablet cannot produce clear  or higher resolution i get it its cheap and for that its good but it just feels cheap and omg so manny pop up adds comeon amazon,1.0,negative
i got this for my kids and they love it its not slow very fast easy to use user friendly,5.0,positive
my  year old loves it the amazon free time is great a lot of apps free for a small yearly fee,5.0,positive
i am satisfied the batteries i recieved are just as good as any other name brand batteries that you could buy,5.0,positive
my kids had a good time with the kindle and now i feel like best buy is the best store ever,5.0,positive
this is an excellent choice for an ereader i purchased it specifically for a vacation in the sun it did a great job was easy to use and overall allowed me to easily read out in the bright sun the backlit display at night was very nice and makes reading a breeze anytime without problem i have an older nook book that is color i chose the amazon version so that i could subscribe to the unlimited monthly reading program in comparison between the  brands i do like the nook better for easy of moving between pages  i havent figured that out quite yet on the kindle but im sure its quite easy theres also no person that i can quickly drop into the store to ask a question on how to do something if you are a person who likes being shown how to use a device i know my mom who is  might have a little problem with some getting the screen at the top to pull down but  of the people most likely wont best thing i like and am glad i invested was the backlight,4.0,positive
this is embarrassing i purchased one game from amazon app store the app crashed right away after i started it i dont know how amazon tested all these apps on their own device but the experience is really bad,2.0,negative
the resolution and contrast of the screen are excellent but the real selling points are how easy it is to read in natural light including bright sunlight and the battery life i have only charged it once since i got it about  weeks ago,4.0,positive
love the convenience of being able to turn on a light or other appliances connected to smart switches with voice commands also very convenient music streaming news and weather reports,5.0,positive
a nice upgrade from my original amazon tv firethe voice command feature has been flawlessa great purchase,5.0,positive
i meanbatteries they work,3.0,neutral
these batteries leak easily and i found them hard to insert into a toy that required aaa did not have this problem when i switched them with brand name batteries,1.0,negative
got one for me and for my older daughter love it a lot,5.0,positive
after reading how fast this unit was i was highly disappointed my roku  leaves the amazon fire tv in the dust it takes forever to load up then freezes several times while being used,3.0,neutral
got this for my daughter i absolutely love the parental control,5.0,positive
i bought the tablet for my  year grand daughter the system comes with a set of kid friendly games and allows you to put the tablet on kid mode this keeps her in the safe zone i also installed abc mouse another hit program,4.0,positive
i love it it is easy to read on and a nice size screen for the kids to watch movies on,5.0,positive
changed the print size to huge  which it is not would appreciate the larger print size for reading books,4.0,positive
seems to be working as well as the duracell ones that i purchase from costco comparable value and i didnt have to go to the store for them,4.0,positive
these batteries are bad in any device the last only a very short time,1.0,negative
no worries  grade a  works well looks good say no more ,5.0,positive
dont last very long but good quality for the price,4.0,positive
my  year old dropped this from a standing position about a foot off the ground and it busted i had to use the bb warranty to replace it the day after purchase for a fall that the tablet shouldve been able to handle that is designed for kids im happy with the apps but definitely not thrilled with the lack of protection that is designed for kids,2.0,negative
mainly use it for playing music was going to connect to apple music but found it much easier to use amazon music and amazon offers a lower priced plan if you just use amazon music for alexa i have an outlet switch connected which is convenient for turning onoff lights it has a good speaker for playing music i think alexa is comparable to siri,4.0,positive
will not stay connected to wifi when it is connected device has to be within  ft of router need this in the kitchen dont want to walk  feet to use it my other wifi devices work everywhere in the house as well as most of yard and garden so i dont get it sick of looking at it  useless,1.0,negative
item was doa reached out to amazon it who this happens often i stand gratification was thrown straight out the window i returned the item to bb where i purchased the appel tv much better product and works which is more than i can say for the fire tv i give the item a  star instead of a  because amazons it was quick to answer the phone and troubleshoot,2.0,negative
this tablet is good to browse the web check emails watch youtube videos the screen is small but still bigger than any smartphoneits a bit slow but its a good bang for the buckbig drawback no access to google play and no support for chromecast if you want to cast to your tv,3.0,neutral
these are aa batteries and they work they do seem to die a bit faster in my speedlight then duracells but maybe i just use it more since i have the  pack,4.0,positive
i have to say i have enjoyed this over many droid boxes and i think its easier to use it has gotten locked up a few times and i had to unplug it to have it do a hard restart other then that i have to say for the price its a good product,4.0,positive
ordered these batteries along with a wall mounted mirror upon inserting these batteries the light did not work thinking something was wrong with the mirror i decided to go to target and buy more batteries replacing your batteries my light now works i would return them but the return date was past due thanks for your time,1.0,negative
my old kindle charger works fine  that wasnt clear when i bought a new kindle white and now you want to charge me  to send it back forget it ill keep the extra charger,1.0,negative
i looked at the math about the capacity and strength and longevity of different batteries and a lot of them are similar including these and these make the most sense price wisei have tried hundreds of rechargeable batteries and they get recharged a couple of times and then disappear at a certain point they are just a waste of money,4.0,positive
