reviews.text,reviews.rating
noe littlebit unusual press hard change page starting get used,3.0
decent batteries seem last long electronics,3.0
works exactly expected bought effort convert old flatscreen smart capabilities smart tv definitely got job done,5.0
fun gadget plays songs various entertainment still learning,4.0
read game prior buying far game half decent much thing,3.0
basically almost content roku would provide much clunkier menu get better amazon menu layout via amazon app roku also hoping pick extra football via fox sports network fs happening add channel free order watch content still need cable satellite subscription defeats whole purpose adding app us cord cutters way signing back cable satellite wish fs would get program offer separate subscription hbo showtime thumbs,1.0
love alexa play games like jeopardy would rather family edition kids love alexa tell jokes,4.0
others streaming devices seem lacking storage memory,5.0
ordered amazon w usb official oem charger power adapter fire tablets kindle ereaders however received nothing like pictured received charger cord states lg electronics verizon accessory certain item,2.0
dont last long,2.0
love best e reader owned far ive owned quite,5.0
great idea needs improvementlots questions askedits reply dont cant answer,3.0
really disappointed kindlei many kindles wanted somwthing thoughtnwould simple kindle doesnt show books cloudit doesnt matter arent device still show cloudi go amazon account transfer book want device,1.0
bought device stream netflix amazon prime play downloaded content purpose sufficient wouldnt use fire tablet productivity device seriously underpowered fire tablet bogged pretty quickly attempted multitask bottomline ipad replacement particularly like variety things tablet sale good deal purposes,3.0
lot fun music asking questions great tool,5.0
got home able set minutes,4.0
price item good compared cages however item came tilted dog tilted dog crate tilt gates noticeable drastic price ill live,3.0
advertised latest version ignorance led price thought paperwite like white paper book bought wife returned mine refused shipment ordered paperwhite backlight higher resolution worth kindler,3.0
want watch movies shop job enough memory much else price great kids,3.0
echo good answering questions good playing music telling weather im sure get better annoyance toddler house tell cute jokes says im sorry cant find answer often sound quite good model works well spotify,3.0
disappointed batteries work work minutes waste money,1.0
tv clicker months,3.0
ads arent annoying think would pretty lightweight good battery life good casual use,4.0
first android tablet works pretty good though dont expect work like ipad ads extremely annoying thats best buys fault,4.0
bought accidentally meant get inch screen,2.0
got tablet kids couldnt beat price tablet reader kids watch movies play games,4.0
ok,5.0
difficult understand instructions still working,3.0
purchase amazon fire tv one tvs smart e happy used watch hulu amazon tv fast havent problems,5.0
wife loves using unit since received gift,5.0
bought kindle fire gb year old son june months charging port came loose device charge best buy aware issue nothing amazon warranty product days said charging ports often break children using options fix device offer small discount buy new one amazon stand behind product aware defect continue sell,1.0
want inexpensive device read kindle books email,3.0
decent quality tablet money one complaint speakers weak cup hand around speaker side get good feedback silk browser seems issues search engines switching search engine fixes thoughi got power goes house served let watch netflix bluetooth keyboard seems adequate messaging writing notesvideo quality good enough though super picky im considering gifting dad one year commented quality looked good another complaint would amazon app store limited clash royale mobile game actually enjoy im sure theres way around im really interested digging around part good solid low end tablet,3.0
difficult turn sticky enough kept falling complete waste moneywhen could get sticking lighting effect nice however quality product zero,1.0
got year old black friday typically household apple couldnt justify buying another ipad works great many favorite apps ipad still hit,4.0
didnt depth research particular tablet price speed good wanted con able clear home screen apps relocate see personal home screen picture,3.0
battery last months dish network remote controls duracells last yeari longer purchase amazon batteries disappointed,1.0
totally worth money apps use daily basis,5.0
tablet loved much gave one gift battery life long,5.0
one use regular used battery powered item dead brand use item several times replace battery,1.0
spend money buy name brand seriously work waste money,1.0
battery wouldnt hold charge able get teplaced,4.0
work dont last long cant complain though wanted batteries received batteries yay,4.0
good tablet purchase first time tablet user,3.0
satisfied product one kids price point amazing pretty big beef best buys store customer service point ordered different color help keep kids kindles separated color ordered year old came sent gig rather gig instead giving color year old ordered customer service agent behind counter absolutely insisted couldnt canceled order making take one colors already least temporarily disappointing year old son get color wanted dissatisfied best buy customer service insadent make question future purchases best buy,4.0
sorry amazon guys great selling products reasonable prices good hassle returns happy customer purchased box aaa aa cell batteries used aaas remotes apparent problems far used cells yet aa batteries worst batteries ever used dont last long flash lights son four batteries actually blew inside unit heard loud pop unit playing five minutes wanted know happened looked inside unit green negative containment ringsealer blown acid inside unit throw rest batteries trash worried little ones getting acid amazon good name bad batteries,1.0
saw reviews batteries news rated among best im glad get amazon bulk great price,5.0
good one configure everything ina easy way thanks,4.0
two google home devices seem lacking smart home controls find additional devices necessary use echo smarthome configuration although currently somewhat limited expect google home surpass echo addon smarthome devices ill wait rather buy devices twice,2.0
totally satisfied,5.0
loved size lightness product stays charged long time,5.0
half batteries didnt even last three months storage disappointment,2.0
batteries perform good cheapest ones market,1.0
two batteries already dead rest work fine,3.0
got tab year old daughter shes always phone tablet got functions apps likes uses hard use gets job done right price drop rough tablet seems sturdy enough expensive going break bank damages,4.0
batteries popped open inside motion detector lights making mess ruining detector never buy brand,1.0
sweet tablet yo good work grandma super easy,4.0
use three battery work light probably times per one dies much quickly others put meter v left third around v frustrating think theyre still good value,3.0
got unbelievable deal best part library books fingertips easy simple set great im traveling,5.0
makes phone way big cant fit pockets,1.0
tablet good mostly use read go however tablet works amazon approved apps long dont mind good choice get sale better price,3.0
ive used exclusively two xbox one controllers tried batteries lasted hours play time running seemed quick dont anything compare right price order remember order batteries need,4.0
terrible,1.0
