reviews.text,reviews.rating
have had it for a while noe a littlebit unusual to press so hard to change page but now starting to get used to it,3.0
decent batteries but do not seem to last that long in electronics,3.0
works exactly as expected i bought this in an effort to convert my old flatscreen with no smart capabilities into a smart tv definitely got the job done,5.0
fun gadget plays songs various entertainment still learning all it can do,4.0
i did read about the game prior to buying it but so far the game is only half decent too much of the same thing,3.0
basically has almost the same content as a roku  would provide but in a much more clunkier menu i can get a better amazon menu layout via the amazon app on the roku  also for those that were hoping to pick up some extra football via fox sports network fs that is not happening you can add the channel free but in order to watch any content you will still need a cable or satellite subscription which defeats the whole purpose of adding the app for us cord cutters there is no way i am signing back up for cable or satellite i wish fs would get with the program and offer a separate subscription such as hbo and showtime do its a thumbs down for me,1.0
we all love alexa you can play games like jeopardy or would you rather family edition the kids love to have alexa tell them jokes,4.0
there are others streaming devices but they seem to lacking storage or memory,5.0
i ordered the amazon w usb official oem charger and power adapter for fire tablets and kindle ereaders however what i received is nothing like what is pictured i received a charger cord that states lg electronics and verizon accessory i am not certain that these are the same item,2.0
they dont last very long,2.0
love it best e reader i have owned so far and ive owned quite a few,5.0
it is a great idea needs some improvementlots of questions askedits reply is i dont or cant answer that,3.0
i am really disappointed in this kindlei have had many kindles but i wanted somwthing i thoughtnwould be simple this kindle doesnt show all my books that are in my cloudit doesnt matter that they arent in my device but they should still show up in my cloudi have to go to my amazon account and transfer the book i want to my device,1.0
bought this device to stream netflix amazon prime and to play downloaded content for that purpose it is sufficient i wouldnt use a fire tablet as a productivity device as it is seriously underpowered fire tablet bogged down pretty quickly when i attempted to multitask bottomline this is not an ipad replacement  particularly if you like to do a variety of things on your tablet but at  on sale this was a very good deal for my purposes,3.0
we have a lot of fun with the music asking questions great tool,5.0
got it home was able to set it up in a few minutes,4.0
the price of the item was very good compared to other cages however the item itself came tilted so now my dog has a tilted dog crate the tilt to the gates are noticeable but not very drastic for the price ill live with it,3.0
this was advertised as the latest version  my ignorance led me to its  price i thought they were all paperwite  as in just like white paper in a book bought it for my wife i returned mine as a refused shipment and ordered the paperwhite it has a backlight higher resolution and for  worth it kindler ,3.0
if you just want to watch movies or shop it does the job not enough memory to do much else but for the price its great for kids,3.0
the echo is not very good at answering questions it is good at playing music and telling you the weather im sure it will get better but it is more of an annoyance with a toddler in the house it does tell cute jokes but it says im sorry i cant find that answer more often than not the sound is quite good from this model and works well with spotify,3.0
i am very disappointed in these batteries they do not work or if they do work it is only for a few minutes they are a waste of money,1.0
tv clicker about  months,3.0
the ads arent as annoying as you think they would be pretty lightweight and good battery life good for casual use,4.0
this is my first android tablet it works pretty good though dont expect it to work like an ipad the ads are extremely annoying but thats not best buys fault,4.0
bought it accidentally meant to get an  inch screen,2.0
got this tablet for my kids and couldnt beat the price for a tablet reader kids watch movies and play games on this,4.0
it was ok,5.0
it is difficult to understand the instructions i am still working on it,3.0
we purchase this amazon fire tv for one of my tvs that is not smart and e are very happy with it we used to watch hulu amazon tv it is very fast and we havent had any problems,5.0
my wife loves it she has been using the unit since she received it for a gift,5.0
i bought a kindle fire gb for my  year old son in june after  months the charging port came loose and the device will not charge best buy is aware of the issue and will do nothing about it amazon will not warranty their product for more than  days and they said the charging ports often break if children are using them they have no options to fix the device and only offer a small discount if i buy a new one amazon does not stand behind this product they are aware of the defect and continue to sell these,1.0
if you want an inexpensive device to read kindle books or do email this is it,3.0
its a decent quality tablet for the money one complaint is the speakers are weak have to cup my hand around the speaker side to get some good feedback the silk browser seems to have issues with search engines just switching the search engine fixes it thoughi got this for when the power goes out at my house its served to let me watch netflix with a bluetooth keyboard it seems adequate for messaging and writing out notesvideo quality is good enough though that has more to do with not being super picky about it im considering gifting my dad one of these this year he commented that the quality looked good another complaint would be the amazon app store is limited no clash royale which is the only mobile game i actually enjoy im sure theres a way around this but im really not interested in digging around for it so for the most part its a good solid low end tablet,3.0
very very very difficult to turn on and off not sticky enough and kept falling down complete waste of moneywhen i could get them on and they were sticking the lighting effect was very nice however the quality of the product was zero,1.0
got these for my  and  year old on black friday when they were  typically our household is apple only but i couldnt justify buying another ipad works great not as many of her favorite apps as the ipad but still a hit,4.0
i didnt do any in depth research on this particular tablet the price and speed were good for what i wanted it for my only con is not being able to clear the home screen of apps or relocate them so i can see my personal home screen picture,3.0
these battery only last a few months in my dish network remote controls have  of them duracells last over a yeari will no longer purchase amazon batteries disappointed,1.0
totally worth the money has all the apps i use on a daily basis,5.0
