reviews.text,reviews.rating,sentiment
good tablet next time buy tablet get bigger one need great kid,3.0,neutral
set easy im really technological sound fantastic really fill entire downstairs house love listening music love random question answered andi cant imagine new roommate alexa,5.0,positive
bought tablet seven year old use youtube video netflix good buy beginning tablet user,4.0,positive
use alexa music glad purchased larger speaker,4.0,positive
bought item granddaughter birthday really liked,5.0,positive
bought adjunct older kindle also access four email account easily one place traveling screen bright make reading easy item small enough get carryon bag pull read email personal account business account also purchased extra memory download movie,5.0,positive
ive really enjoyed using alexa found useful thought would really inspired start use alexa compatible product make home smarter,5.0,positive
son love thing great price work,5.0,positive
know pay get rid ad bad idea tablet work fine otherwise okay amazon apps,2.0,negative
would recommend anytime great product,5.0,positive
little delay responding definitely stump would recommend cheaper version,4.0,positive
sweet product amazon usual legit definitely,5.0,positive
bought wife love book always agent ebooks cant without,5.0,positive
purchase husband christmas love,5.0,positive
wish could download google doc otherwise happy kindle fire,4.0,positive
picked keep book reading main tablet game different device working good far whole family,5.0,positive
purchased amazon fire son reading enough review product work ok ebooks slow internet streaming downloading also touch function sensitive need hit button couple time make work,3.0,neutral
son love tablet read book play game one device,5.0,positive
good price lot good free game,4.0,positive
owned past generation fire stick blow water,5.0,positive
various version kindle one great screen quality amazing think make best kindle paperwhite price great got less best buy member deal,5.0,positive
brought item parent fit need,5.0,positive
really like kindle fire make sure get free month amazon prime cancel expires otherwise charged,5.0,positive
nice tablet great function great reading book fairly easy use web lot apps available,4.0,positive
santa got yo work well wifi link movie library via dma app add educational apps expand memory via sd card cant put much chagrin,5.0,positive
bought sale price fast decent graphic great reading ebooks best fit wife purse,4.0,positive
graphic great price would highly recommend,4.0,positive
screen tablet nice good picture,5.0,positive
work great hold charge forever look im actually reading paper,5.0,positive
bought mom mother day easy use like play game read book lot well great product nice price,5.0,positive
great sounding device product improvement constantly done option added,5.0,positive
easy maneuver various channel could replace satellite co,5.0,positive
bought twoyearold son play game wouldnt panic dropped also great tool fire apps amazon apps,5.0,positive
love apple tv work well plex need,5.0,positive
great product would recommend tablet grest price,5.0,positive
good device consider low cost display isnt great plus amazon version o inferior comparing android,4.0,positive
perfect cheap tablet bought dad love,5.0,positive
love beautiful color graphic time watch movie play game read favorite novel love,5.0,positive
fast super easy use im pleased purchase,5.0,positive
happy new kindle highly recommend product,5.0,positive
handy size work well would google play store available,4.0,positive
got tired high cable bill joined cord cutting stampede work great save month also got deal half antenna local channel bought cant go wrong,5.0,positive
well worth purchase got brother dad christmas loved,5.0,positive
thank,5.0,positive
purchased kindle fire uncle really enjoyed product easy operate variety game book also model camera,5.0,positive
wanted get wife upgrade old kindle work great like fact color,5.0,positive
kindle fire provides portability looking,5.0,positive
got cheap tablet love,4.0,positive
cant find better tablet price apple take page amazon book,4.0,positive
time upgrade glad fire hd bigger apps easier switch one application feature song great addition audible glad version includes charger love fact play movie fall asleep movie done table go cheap tablet get bang buck,5.0,positive
bought black blue orange tablet amazing awesome price would like purchase purple one,5.0,positive
daughter able use tablet prime video,5.0,positive
good product,5.0,positive
got set still learn connect phone smart tv need look info help didnt purchase setup help buy ill learn right asking weather using timer asking question thing work great even grandchild like asking thing cant wait set tv,5.0,positive
echo great answer question issue may great homework,5.0,positive
everyone amazon echo echo like someone exactly ask quickly without think give back talk love amazon echo beyond anything ive used past find relying device house entire family enjoys planning purchase couple floor house love thinking buying one havent pick one today youll glad great devicefriend entire family enjoy way ordering fast food delivery one family favorite ask,5.0,positive
excellant starter tablet love preset child mind love color choice available since grandchild got product christmas,5.0,positive
bought aunt play game able use facebook love easy setup use,5.0,positive
great job go without doubt,5.0,positive
amazon echo wonderful addition house listen music like want still learning wonderful quality,5.0,positive
device funtional give access many type service ex netflix hulu amazon prime much also allows customize side loading program bad little device prefer big brother amazon fire tv,5.0,positive
start high end tablet serf fundamental purpose browsing reading much ease believe lot better low end asus tablet multiple tablet varying brand tablet work like charm price offered worth purchase,5.0,positive
great wish instruction,5.0,positive
amazon tap pretty much work advertised understand product evolve system update love weather traffic movie sport scoresschedules answered quickly effortlessly excellent gift gave son daughter son unknowingly gave tap back well cant wait see improvement made update coming,4.0,positive
echo like personal assistant blast wake every morning finding traffic weather forecast look like,5.0,positive
there doubt best kindle device available battery life astonishing design unique extremely ergonomic holding hand pleasurable experience fit like glove con may askfor one battery life depends provided case act like travel charger sense con well limit customization option there way purchase color replacement time best cautious itand two price obviously take account basically given premium case device premium device traveling charge inside caseit may almost even device hard justify readingstill would recommend fan ereadersreading,4.0,positive
really helped use echo plug help make moving another room easier,5.0,positive
bought son age love boy rough everything especially electronics held great ended buying another use work ereader,5.0,positive
nothing fancy good budget tablet suppose,4.0,positive
protective case right kindle,5.0,positive
got sale really made worth getting,5.0,positive
tried numerous medium streaming device advantage disadvantage particular steamer offer solid combination hardware apps setting tweeks well expansion option upgrade reasonable price obviously stream medium internet also play game stream live tv watch k content add usb andor sd storage expansion offline access connect usb andor bluetooth keyboardmousejoystick enhanced interaction connect bluetooth headphone speaker added listening option unless youre looking specific advanced feature functionality amazon fire tv provides solid overall medium streaming experience,4.0,positive
wanted reader could get go way always something read apps great easy yr old grandson enjoy,4.0,positive
great product,5.0,positive
looking echo awhile wasnt early adopter much geek product like wanted wait till skill library bit tested expanded well imagine surprise got gift absolutely love using echoalexa weather music shopping list constant thing adding yes moment cant understand something tend mumble time dont expect search engine giving multile result inquiry great speaker home assistant kitchen helper measurement even control home temperature honeywell thermostat next purchasesmart plug turn item voice love interactivity havent even scratched surface yet alexa offer found love echo website discover new thing havent tried yet,5.0,positive
brought tablet grandkids love easy operate block web site make kid friendly,5.0,positive
amazon fire great value money lot functionality,4.0,positive
small powerful great adult toy reader,5.0,positive
like echo great connect music ask weather whole lot thing alexa fun around,5.0,positive
screen clear battery last long time good substitute afford ipad,4.0,positive
paperwhite similar real book light setting helpful eye friendly one battery charge last long,5.0,positive
going take work get useful capacity nice speaker music kitchen,3.0,neutral
seems relatively user friendly new tablet owner would appreciated basic instruction come rather learn everything trial error im sure still understand many capability tablet offer,4.0,positive
worth extra buck buy tv stick plug ethernet cable,5.0,positive
great reader glare love ipad great dont want glare light using product quick ipad,5.0,positive
alexa fun toy think lot undiscovered capability discover every day question based sure wish could conversation alexa however maybe next update,4.0,positive
love kindle love fact use sd card storage great job,5.0,positive
absolute junk dont waste money bought wife christmas gift would connect wifi house useless,1.0,negative
found many pop ad returned,3.0,neutral
grandson like learning game tablet see progress learning time used,4.0,positive
basically use read news article story online work well use,4.0,positive
granddaughter love us lot help homework,5.0,positive
fastest streaming device market mini computer operating behind television,5.0,positive
fourth kindleupgrading time mine go everywhere used throughout day wouldnt without,5.0,positive
read many review could find buying newest paperwhite struck contrast bright screen versus print however got mine put brightness level get comfortable setting make battery run ive even read two book airplane setting meaning wifi luckily bought charger charge paperwhite trip without computer regular outlet night im finished reading positive love light weight kindle even preferred cover shuts sleep mode closed absolutely love dictionary feature easy use save word dont know study ive learned word meaning delete list got paperwhite ad nice getting suggestion book might enjoy might see otherwise book easy order kindle store download devise like cover protects screen scratch stored purse also purchased stylus keep fingerprint screen like generally happy purchase,4.0,positive
sound great music sound muffled real needed im fun,4.0,positive
light weight long battery life love back lighting,5.0,positive
good product didnt want glare read serf purpose,4.0,positive
love alexa fave thing shopping list look home ask alexa add item list never forget anything,5.0,positive
simple set use positioning home matter trial error hear command location voice recognition uncertain first software algorithm learn quite quickly good streaming radio sound quality quite good small device highly recommended,4.0,positive
love easy navigate even toddler,5.0,positive
flawless amazon great product work time possibility endless,5.0,positive
