reviews.text,reviews.rating,sentiment
good tablet next time buy tablet get bigger one need great kids,3.0,neutral
set easy im really technological sound fantastic really fills entire downstairs house love listening music love random questions answered andi cant imagine new roommate alexa,5.0,positive
bought tablet seven year old use youtube videos netflix good buy beginning tablet user,4.0,positive
use alexa music glad purchased larger speaker,4.0,positive
bought item granddaughter birthday really liked,5.0,positive
bought adjunct older kindle also access four email accounts easily one place traveling screen bright makes reading easy item small enough get carryon bag pull read emails personal accounts business accounts also purchased extra memory download movies,5.0,positive
ive really enjoyed using alexa found useful thought would really inspired start use alexa compatible products make home smarter,5.0,positive
sons love things great price works,5.0,positive
know pay get rid ads bad idea tablet works fine otherwise okay amazon apps,2.0,negative
would recommend anytime great product,5.0,positive
little delay responding definitely stump would recommend cheaper versions,4.0,positive
sweet product amazon usual legit definitely,5.0,positive
bought wife loves books always agents ebooks cant without,5.0,positive
purchase husband christmas loves,5.0,positive
wish could download google docs otherwise happy kindle fire,4.0,positive
picked keep book reading main tablet games different devices working good far whole family,5.0,positive
purchased amazon fire son reading enough reviews product works ok ebooks slow internet streaming downloading also touch function sensitive need hit button couples time make work,3.0,neutral
son loves tablet read books play games one device,5.0,positive
good price lot good free games,4.0,positive
owned past generations fire stick blows water,5.0,positive
various versions kindle one great screen quality amazing think makes best kindle paperwhite price great got less best buy member deal,5.0,positive
brought item parent fits needs,5.0,positive
really like kindle fire make sure get free month amazon prime cancel expires otherwise charged,5.0,positive
nice tablet great functions great reading books fairly easy use web lots apps available,4.0,positive
santa got yo works well wifi link movie library via dma app add educational apps expand memory via sd card cant put much chagrin,5.0,positive
bought sale price fast decent graphics great reading ebooks best fits wifes purse,4.0,positive
graphics great price would highly recommend,4.0,positive
screen tablet nice good picture,5.0,positive
works great holds charge forever looks im actually reading paper,5.0,positive
bought mom mothers day easy use likes play games read books lots well great product nice price,5.0,positive
great sounding device product improvements constantly done options added,5.0,positive
easy maneuver various channels could replace satellite co,5.0,positive
bought twoyearold son play games wouldnt panic dropped also great tool fire apps amazon apps,5.0,positive
love apple tv works well plex need,5.0,positive
great product would recommend tablet grest price,5.0,positive
good device consider low cost display isnt great plus amazon version os inferior comparing android,4.0,positive
perfect cheap tablet bought dad loves,5.0,positive
love beautiful color graphics time watch movie play games read favorite novel love,5.0,positive
fast super easy use im pleased purchase,5.0,positive
happy new kindle highly recommend product,5.0,positive
handy size works well would google play store available,4.0,positive
got tired high cable bills joined cord cutting stampede works great save month also got deal half antenna local channels bought cant go wrong,5.0,positive
well worth purchase got brother dad christmas loved,5.0,positive
thank,5.0,positive
purchased kindle fire uncle really enjoyed product easy operate variety games books also model camera,5.0,positive
wanted get wife upgrade old kindle works great likes fact color,5.0,positive
kindle fire provides portability looking,5.0,positive
got cheap tablet love,4.0,positive
cant find better tablet price apple take page amazon book,4.0,positive
time upgrade glad fire hd bigger apps easier switch one application features songs great addition audible glad version includes charger love fact play movies fall asleep movie done table goes cheap tablet get bang buck,5.0,positive
bought blacks blue orange tablets amazing awesome price would like purchase purple one,5.0,positive
daughter able use tablet prime video,5.0,positive
good product,5.0,positive
got set still learn connect phone smart tv need look info help didnt purchase setup help buy ill learn right asking weather using timer asking questions things works great even grandchildren like asking things cant wait set tv,5.0,positive
echo great answer questions issues may great homework,5.0,positive
everyone amazon echo echo like someone exactly ask quickly without think give back talk love amazon echo beyond anything ive used past find relying device house entire family enjoys planning purchase couple floor house love thinking buying one havent pick one today youll glad great devicefriend entire family enjoy way ordering fast food delivery one familys favorite ask,5.0,positive
excellant starter tablet love preset children mind love color choices available since grandchildren got product christmas,5.0,positive
bought aunt play games able use facebook loves easy setup use,5.0,positive
great job go without doubt,5.0,positive
amazon echo wonderful addition house listen music like want still learning wonderful qualities,5.0,positive
device funtional gives access many types services ex netflix hulu amazon prime much also allows customize side loading programs bad little device prefer big brother amazon fire tv,5.0,positive
start high end tablet serves fundamental purpose browsing reading much ease believe lot better low end asus tablet multiple tablets varying brands tablet works like charm price offered worth purchase,5.0,positive
great wish instructions,5.0,positive
amazon tap pretty much works advertised understand product evolve system updates love weather traffic movies sports scoresschedules answered quickly effortlessly excellent gift gave son daughter son unknowingly gave tap back well cant wait see improvements made updates coming,4.0,positive
echo like personal assistant blast wake every morning finding traffic weather forecast looks like,5.0,positive
theres doubt best kindle device available battery life astonishing design unique extremely ergonomic holding hand pleasurable experience fits like glove cons may askfor one battery life depends provided case acts like travel charger sense con well limits customization options theres way purchase colors replacements time best cautious itand two price obviously take account basically given premium case device premium device traveling charge inside caseit may almost even device hard justify readingstill would recommend fan ereadersreading,4.0,positive
really helped use echo plugs helps make moving another room easier,5.0,positive
bought sons ages love boys rough everything especially electronics held great ended buying another use work ereader,5.0,positive
nothing fancy good budget tablet suppose,4.0,positive
protective case right kindle,5.0,positive
got sale really made worth getting,5.0,positive
tried numerous media streaming devices advantages disadvantages particular steamer offers solid combination hardware apps settings tweeks well expansion options upgrades reasonable price obviously stream media internet also play games stream live tv watch k content add usb andor sd storage expansion offline access connect usb andor bluetooth keyboardmousejoystick enhanced interaction connect bluetooth headphones speakers added listening options unless youre looking specific advanced feature functionality amazon fire tv provides solid overall media streaming experience,4.0,positive
wanted reader could get go way always something read apps great easy yr old grandson enjoy,4.0,positive
great product,5.0,positive
looking echo awhile wasnt early adopter much geek products like wanted wait till skills library bit tested expanded well imagine surprise got gift absolutely love using echoalexa weather music shopping lists constant things adding yes moments cant understand something tend mumble times dont expect search engine giving multile results inquiry great speaker home assistant kitchen helper measurements even controls home temperature honeywell thermostat next purchasesmart plugs turn items voice love interactivity havent even scratched surface yet alexa offer found love echo website discover new things havent tried yet,5.0,positive
brought tablet grandkids love easy operate block web sites make kid friendly,5.0,positive
amazon fire great value money lots functionality,4.0,positive
small powerful great adult toy reader,5.0,positive
like echo great connect music ask weather whole lot things alexa fun around,5.0,positive
screen clear battery last long time good substitute afford ipad,4.0,positive
paperwhite similar real book light setting helpful eyes friendly one battery charge last long,5.0,positive
going take work get useful capacity nice speaker music kitchen,3.0,neutral
seems relatively user friendly new tablet owner would appreciated basic instructions come rather learn everything trial error im sure still understand many capabilities tablet offer,4.0,positive
worth extra bucks buy tv stick plug ethernet cable,5.0,positive
great reader glare love ipad great dont want glare light using product quick ipad,5.0,positive
alexa fun toy think lots undiscovered capabilities discover every day question based sure wish could conversation alexa however maybe next update,4.0,positive
love kindle love fact use sd card storage great job,5.0,positive
absolute junk dont waste money bought wife christmas gift would connect wifi house useless,1.0,negative
found many pop ads returned,3.0,neutral
grandson likes learning games tablet see progress learning time used,4.0,positive
basically use read news articles stories online works well use,4.0,positive
granddaughter loves uses lot helps homework,5.0,positive
fastest streaming device market mini computer operating behind television,5.0,positive
fourth kindleupgrading time mine goes everywhere used throughout day wouldnt without,5.0,positive
read many reviews could find buying newest paperwhite struck contrast bright screen versus print however got mine put brightness level get comfortable setting makes battery run ive even read two books airplane setting meaning wifi luckily bought charger charge paperwhite trips without computer regular outlet night im finished reading positives love light weight kindle even preferred cover shuts sleep mode closed absolutely love dictionary feature easy use saves words dont know study ive learned words meaning delete list got paperwhite ads nice getting suggestions books might enjoy might see otherwise books easy order kindle store download devise like cover protects screen scratches stored purse also purchased stylus keep fingerprints screen like generally happy purchase,4.0,positive
sound great music sounds muffled real needed im fun,4.0,positive
light weight long battery life love back lighting,5.0,positive
good product didnt want glare read serves purpose,4.0,positive
love alexa fave thing shopping list look home ask alexa add items list never forget anything,5.0,positive
simple set use positioning home matter trial error hear commands locations voice recognition uncertain first software algorithms learn quite quickly good streaming radio sound quality quite good small device highly recommended,4.0,positive
love easy navigate even toddler,5.0,positive
flawless amazon great product works time possibilities endless,5.0,positive
kindle voyage wonderful product use everyday reading take lunch dinner day,5.0,positive
