reviews.text,reviews.rating,sentiment,reviews.doRecommend
worth every penny kids loved home quieter ever,4.0,positive,True
four years old son loves ityou everything less,5.0,positive,True
keep child entertained amazon fire kids edition tablet thousands childfriendly ebooks tv shows games educational apps accessible tablet engage child healthy way kidproof case prevents easy damage expandable memory gb amazon fire kids edition tablet provides plenty storage movies,5.0,positive,True
easy child usei bought child hes trouble navigating learning different tools use navigate,4.0,positive,True
wonderful little buy tired bulky tablet one stays charged lot longer,5.0,positive,True
got christmas love reading books get glare eyes get tired previously used ipad bright tired eyes reminds real papers book,5.0,positive,True
loved product first disappointed could download google store apps quick google search fixed issue download google store apps battery life amazing able watch around full movies single charge performance great games like marvel champions modern strike online issues able add sd card perfect dont worry storage downloading movies apps speakers better samsung galaxy price point tablet single thing complain brightness screen better,5.0,positive,True
amazon fire tv best use kodi app allows movies without additional charge,5.0,positive,True
good basic tablet bought year old complaint doesnt one popular games despicable son loves still use mine plz update software amazon,3.0,neutral,
bought wife started headaches facebook email iphone larger screen makes easier use extended period time,5.0,positive,True
upgraded unit paperwhite left plane somewherei find unit lot crisper lot speedier overall pleasurable usei purchased amazon brand leathertype case standup foot adds bit girth hold readingthe unit incredibly slimbattery life excellent even using backlight,5.0,positive,True
tablet light weight thin makes ideal hold hands love,5.0,positive,True
echo order time problem nice way order dont much time,5.0,positive,True
wanted kindle light feature reading bed night done homework would purchased kindle bells whistles,3.0,neutral,
reboots sometimes beats paying cable bill,3.0,neutral,
went nook kindle love awesome item love,5.0,positive,True
bought seven year old last year ipad lasted months couldnt see spending another settled kindle loves id recommend great tablet younger kids great price,4.0,positive,True
upgrade purchase previous kindle years old still working new version much faster much better quality camera love reading netflix online shopping,5.0,positive,True
bought tablet young grandchildren love easy use given child profile,5.0,positive,True
product great kids expensive fragile super careful great basics,5.0,positive,True
ordered one year old ordered second one year old easy use age appropriate apps,4.0,positive,True
great speaker sound great use every day love able use alexa attached network,5.0,positive,True
purchased gift perfect small children easy use especially childrens apps touch screen,4.0,positive,True
definitely got job done tablet nice size affordable,4.0,positive,True
great price bought thanksgiving day online could picked store huge supply got blue online black store basic worth,4.0,positive,True
kindle reader light weight easy eyes good reader better ui improved made fastthe builtin lights good offer nice option read dark fro one totally books wants handy,4.0,positive,True
love easy use previously nook color since newest nook problems getting library books time decided go kindle worried would lose nook books purchased years nope problem download couple apps mgetjarcom download rd party apps downloaded open mgetjar find nook easy peasy,5.0,positive,True
alexa wonderful resource family question asked recommendationsreviews requested spot havent used order anything yet may future learn ensure nothing blocking speaker speak clearly order receive answer,4.0,positive,True
works great like better cable new favorite device watch movies tv shows kids like games available,5.0,positive,True
bought kids read play games bought tablets one opinion best one price,5.0,positive,True
kindle paper white works perfectly battery life amazing,5.0,positive,True
screen absolutely amazing eyes read long stretches time without eye strain battery lasts forever,5.0,positive,True
used player netfis andl streaming movies,4.0,positive,True
bought gift cant speak functions however researched kinds tablets online purchasing great deal,5.0,positive,True
tv already netflix amazon still wanted apps get devices love thing highly recommend ask alexa stuff instantly music movies shopping,5.0,positive,True
product awesome amazing ask question seconds answer,5.0,positive,True
bought new tablet user quick training session caught right,4.0,positive,True
bought grandson easy use durable enough four year old,5.0,positive,True
product fine would definitely recommended friend,5.0,positive,True
