reviews.text,reviews.rating,reviews.doRecommend
product far disappointed children love use like ability monitor control content see ease,5.0,True
great beginner experienced person bought gift loves,5.0,True
inexpensive tablet use learn step nabi thrilled learn skype already,5.0,True
ive fire hd two weeks love tablet great valuewe prime members tablet shines love able easily access prime content well movies download watch laterthis screen really nice look nice crisp bright infact brighter ipad pro costing base model build fire insanely awesome running mm thick smooth glossy feel back really amazing hold like futuristic tab ur hands,4.0,True
bought grand daughter comes visit set user entered age name amazon makes sure accesses sites content appropriate age simple loves capabilities also bought installed gig sd card gives little tablet plenty storage price think tablet best one spend hundreds dollars additional speed capacity comes basics tablets everything people ever need fraction cost,5.0,True
amazon fire inch tablet perfect size purchased husband bigger screen phone gotten one years ago knew would good purchase,5.0,True
great ereading go nice light weight price point given definitely worth purchase,4.0,True
gave christmas gift inlaws husband uncle loved easy use fantastic features,5.0,True
great device read books like links borrowed library ebooks switched another popular tablet brand happy choice made took time get books previous nonkindle reader finally figured way,5.0,True
love ordering books reading reader,5.0,True
easy elderly users cease ads pop,4.0,True
excellent product easy use large screen makes watching movies reading easier,5.0,True
wanted father first tablet good value watch movies play games easy enough use,4.0,True
simply everything need thank youand silk works wonders,5.0,True
got present love size screen,5.0,True
kindle easiest use graphics screen crisp clear brilliant colors,5.0,True
nice reader almost perfect wantneed good bargain,4.0,True
really like tablet would given stars sometimes push start several times unlock screen little annoying,4.0,True
great video quality lots fun apps fun whole family,5.0,True
love love love kindle fire yr old granddaughter said bought christmaswe purchased kindled past one bestlove fact use memory card itthat helps much use booksgamesmusic viedosthanks,5.0,True
excellent tablet nice screen wish amazon would pre install play store would perfect,5.0,True
preloaded reading app kindle expandable apps perfect travel carry library games productivity apps small footprint,5.0,True
happy product easy usepicture clear takes great pictures,5.0,True
grandchildren home schooled utilize tables many learning apps love using makes feel grown tablets great leaning tool receiving many benefits,5.0,True
great size easy carry traveling need spend time looking apps contact manegement interactive calenders important music storage use,5.0,True
purchased last tablet died meets basic needs price great,4.0,True
perfect downloading reading books perfect size nice bright screen,4.0,True
surprised learned capabilities device husband access desktop things couldnt device,5.0,True
got son user friendly durable,5.0,True
visual quality fire hd amazing runs fast easy use durable,5.0,True
looking affordable gift,5.0,True
great tablet price would recommend anyone looking basic tablet,5.0,True
works great love portability books overall great product,4.0,True
still learning things new kindle fire much better lighter weight easier use old tablet,5.0,True
right size reading books playing games,5.0,True
love everything tablet imaging sharp clear fast light weight love,5.0,True
overall nice product traveling purposes value money,4.0,True
children love table great quality pictures excellent camera,5.0,True
bought tablets family disappointed,5.0,True
great tablet fast screen good size never gives problem,5.0,True
bought year old grandmother wanted able play games read books library aunt lives help use perfect type user playing would consider anyone hardcore user wants latest greatest tech tech saavy fire tablets advertised,4.0,True
exactly person wanted gift enjoys using,5.0,True
basic functions tablet hardcore users may want ipad,4.0,True
works great simple tablet huge fan silk browser could worse happy purchase,4.0,True
fast easy use second kindle fire,5.0,True
flexibility kindle bigger screen like surf web download read books,4.0,True
money cannot beat tablet full features picture quality great fast speed using internet,5.0,True
easy use solid build sharp hp screen movies needs,5.0,True
tablet perfect beginners want basic,5.0,True
first tablet love actually read first ebook large screen easy read play games fits nicely purse,5.0,True
inch fire definitely better cheaper inch works fine enough teens play games watch movies,4.0,True
great tablet highest specs gets job done lite tablet users,4.0,True
